OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,lt,central,5,0.0,2.5,30,120,0,1,0.94054
L,lt,up,5,0.0,2.5,30,120,0,1,0.99829
L,lt,down,5,0.0,2.5,30,120,0,1,0.88282
L,lt,central,4,0.0,2.5,30,120,0,1,0.94054
L,lt,up,4,0.0,2.5,30,120,0,1,1.05605
L,lt,down,4,0.0,2.5,30,120,0,1,0.8251
L,lt,central,5,0.0,2.5,120,180,0,1,0.94328
L,lt,up,5,0.0,2.5,120,180,0,1,1.00016
L,lt,down,5,0.0,2.5,120,180,0,1,0.88619
L,lt,central,4,0.0,2.5,120,180,0,1,0.94328
L,lt,up,4,0.0,2.5,120,180,0,1,1.05704
L,lt,down,4,0.0,2.5,120,180,0,1,0.8291
L,lt,central,5,0.0,2.5,180,240,0,1,0.94175
L,lt,up,5,0.0,2.5,180,240,0,1,0.99522
L,lt,down,5,0.0,2.5,180,240,0,1,0.88816
L,lt,central,4,0.0,2.5,180,240,0,1,0.94175
L,lt,up,4,0.0,2.5,180,240,0,1,1.04869
L,lt,down,4,0.0,2.5,180,240,0,1,0.83457
L,lt,central,5,0.0,2.5,240,450,0,1,0.95756
L,lt,up,5,0.0,2.5,240,450,0,1,1.02441
L,lt,down,5,0.0,2.5,240,450,0,1,0.89033
L,lt,central,4,0.0,2.5,240,450,0,1,0.95756
L,lt,up,4,0.0,2.5,240,450,0,1,1.09127
L,lt,down,4,0.0,2.5,240,450,0,1,0.82311
M,lt,central,5,0.0,2.5,30,120,0,1,0.91288
M,lt,up,5,0.0,2.5,30,120,0,1,0.9996
M,lt,down,5,0.0,2.5,30,120,0,1,0.8262
M,lt,central,4,0.0,2.5,30,120,0,1,0.91288
M,lt,up,4,0.0,2.5,30,120,0,1,1.08632
M,lt,down,4,0.0,2.5,30,120,0,1,0.73952
M,lt,central,5,0.0,2.5,120,180,0,1,0.92966
M,lt,up,5,0.0,2.5,120,180,0,1,1.00941
M,lt,down,5,0.0,2.5,120,180,0,1,0.84963
M,lt,central,4,0.0,2.5,120,180,0,1,0.92966
M,lt,up,4,0.0,2.5,120,180,0,1,1.08917
M,lt,down,4,0.0,2.5,120,180,0,1,0.76959
M,lt,central,5,0.0,2.5,180,240,0,1,0.9126
M,lt,up,5,0.0,2.5,180,240,0,1,1.003
M,lt,down,5,0.0,2.5,180,240,0,1,0.82208
M,lt,central,4,0.0,2.5,180,240,0,1,0.9126
M,lt,up,4,0.0,2.5,180,240,0,1,1.0934
M,lt,down,4,0.0,2.5,180,240,0,1,0.73156
M,lt,central,5,0.0,2.5,240,450,0,1,0.91105
M,lt,up,5,0.0,2.5,240,450,0,1,0.99434
M,lt,down,5,0.0,2.5,240,450,0,1,0.82726
M,lt,central,4,0.0,2.5,240,450,0,1,0.91105
M,lt,up,4,0.0,2.5,240,450,0,1,1.07764
M,lt,down,4,0.0,2.5,240,450,0,1,0.74348
L,incl,central,0,0.0,2.5,20,1000,0,1,1.18334-0.00414712*x+1.87578e-05*x*x-2.62651e-08*x*x*x+1.18845e-11*x*x*x*x 
L,incl,down,0,0.0,2.5,20,1000,0,1,1.11753-0.00396416*x+1.78888e-05*x*x-2.5029e-08*x*x*x+1.13312e-11*x*x*x*x 
L,incl,up,0,0.0,2.5,20,1000,0,1,1.25165-0.004317*x+1.95205e-05*x*x-2.7332e-08*x*x*x+1.23629e-11*x*x*x*x 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.1197-0.00581402*x+2.54353e-05*x*x-3.40942e-08*x*x*x+1.49672e-11*x*x*x*x 
M,incl,down,0,0.0,2.5,20,1000,0,1,0.985167-0.00508291*x+2.20831e-05*x*x-2.95284e-08*x*x*x+1.29651e-11*x*x*x*x 
M,incl,up,0,0.0,2.5,20,1000,0,1,1.26139-0.00656752*x+2.88058e-05*x*x-3.87088e-08*x*x*x+1.70343e-11*x*x*x*x 
T,incl,central,0,0.0,2.5,20,1000,0,1,-1.92779+0.00697673*x-3.99068e-06*x*x+3.23312/(1+0.00626665*x) 
T,incl,down,0,0.0,2.5,20,1000,0,1,0.721706-0.00202707*x+8.51346e-06*x*x-6.36084e-09*x*x*x 
T,incl,up,0,0.0,2.5,20,1000,0,1,1.31008-0.00703353*x+3.28572e-05*x*x-4.46686e-08*x*x*x+1.97584e-11*x*x*x*x 
