pt,eta,efficiency
"[0, 200)","[-3, -2.4)",0.0
"[0, 200)","[-2.4, -1.8)",0.0
"[0, 200)","[-1.8, -1.2)",0.0
"[0, 200)","[-1.2, -0.6)",
"[0, 200)","[-0.6, 0)",
"[0, 200)","[0, 0.6)",
"[0, 200)","[0.6, 1.2)",
"[0, 200)","[1.2, 1.8)",
"[0, 200)","[1.8, 2.4)",
"[0, 200)","[2.4, 3)",
"[200, 400)","[-3, -2.4)",0.18546887977745843
"[200, 400)","[-2.4, -1.8)",0.2463733355688925
"[200, 400)","[-1.8, -1.2)",0.23956209110023297
"[200, 400)","[-1.2, -0.6)",0.26034381374565535
"[200, 400)","[-0.6, 0)",0.7303596881026243
"[200, 400)","[0, 0.6)",0.0
"[200, 400)","[0.6, 1.2)",
"[200, 400)","[1.2, 1.8)",
"[200, 400)","[1.8, 2.4)",
"[200, 400)","[2.4, 3)",
"[400, 600)","[-3, -2.4)",0.15780623552924866
"[400, 600)","[-2.4, -1.8)",0.3385498844607542
"[400, 600)","[-1.8, -1.2)",0.33547040792538585
"[400, 600)","[-1.2, -0.6)",0.25697408477004885
"[400, 600)","[-0.6, 0)",0.2793585779945083
"[400, 600)","[0, 0.6)",0.34929950563772805
"[400, 600)","[0.6, 1.2)",0.20522275130140027
"[400, 600)","[1.2, 1.8)",1.0
"[400, 600)","[1.8, 2.4)",
"[400, 600)","[2.4, 3)",
"[600, 800)","[-3, -2.4)",0.21410579133000446
"[600, 800)","[-2.4, -1.8)",0.4020508276198762
"[600, 800)","[-1.8, -1.2)",0.4050945194579849
"[600, 800)","[-1.2, -0.6)",0.3471727669543116
"[600, 800)","[-0.6, 0)",0.31509312723626504
"[600, 800)","[0, 0.6)",0.39685402148976395
"[600, 800)","[0.6, 1.2)",0.27205703264177555
"[600, 800)","[1.2, 1.8)",0.40893792357509534
"[600, 800)","[1.8, 2.4)",0.30887826337234897
"[600, 800)","[2.4, 3)",0.2951289215090817
"[800, 1000)","[-3, -2.4)",0.29176933561008894
"[800, 1000)","[-2.4, -1.8)",0.42607379925304073
"[800, 1000)","[-1.8, -1.2)",0.4076903065331174
"[800, 1000)","[-1.2, -0.6)",0.3521374498995485
"[800, 1000)","[-0.6, 0)",0.34393563337851646
"[800, 1000)","[0, 0.6)",0.3447305161604434
"[800, 1000)","[0.6, 1.2)",0.21264326790553037
"[800, 1000)","[1.2, 1.8)",0.3322191256285343
"[800, 1000)","[1.8, 2.4)",0.33039637492006063
"[800, 1000)","[2.4, 3)",0.37335497659179206
"[1000, 1200)","[-3, -2.4)",0.26524615600315643
"[1000, 1200)","[-2.4, -1.8)",0.42892474703893085
"[1000, 1200)","[-1.8, -1.2)",0.43723108478241557
"[1000, 1200)","[-1.2, -0.6)",0.3586873435754282
"[1000, 1200)","[-0.6, 0)",0.35915201939218006
"[1000, 1200)","[0, 0.6)",0.28759965688291816
"[1000, 1200)","[0.6, 1.2)",0.28400419507582697
"[1000, 1200)","[1.2, 1.8)",0.22048046893878825
"[1000, 1200)","[1.8, 2.4)",0.36703085500296456
"[1000, 1200)","[2.4, 3)",0.20441673740994654
"[1200, 1400)","[-3, -2.4)",0.1595864012868603
"[1200, 1400)","[-2.4, -1.8)",0.40515094567082677
"[1200, 1400)","[-1.8, -1.2)",0.4084244322591453
"[1200, 1400)","[-1.2, -0.6)",0.4046869455552941
"[1200, 1400)","[-0.6, 0)",0.3310474968983501
"[1200, 1400)","[0, 0.6)",0.3652186510268982
"[1200, 1400)","[0.6, 1.2)",0.385540034512606
"[1200, 1400)","[1.2, 1.8)",0.3004253371743876
"[1200, 1400)","[1.8, 2.4)",0.27601985623573905
"[1200, 1400)","[2.4, 3)",0.33593862003846137
"[1400, 1600)","[-3, -2.4)",0.2731200352360261
"[1400, 1600)","[-2.4, -1.8)",0.3225638329356001
"[1400, 1600)","[-1.8, -1.2)",0.3684371816158061
"[1400, 1600)","[-1.2, -0.6)",0.23196400738658954
"[1400, 1600)","[-0.6, 0)",0.32085926941302373
"[1400, 1600)","[0, 0.6)",0.4081384506811123
"[1400, 1600)","[0.6, 1.2)",0.0753223654957759
"[1400, 1600)","[1.2, 1.8)",0.0
"[1400, 1600)","[1.8, 2.4)",
"[1400, 1600)","[2.4, 3)",
"[1600, 1800)","[-3, -2.4)",0.41820129572004283
"[1600, 1800)","[-2.4, -1.8)",0.2829981129976443
"[1600, 1800)","[-1.8, -1.2)",0.29165132453754994
"[1600, 1800)","[-1.2, -0.6)",0.31166671164021814
"[1600, 1800)","[-0.6, 0)",0.17940194369792867
"[1600, 1800)","[0, 0.6)",
"[1600, 1800)","[0.6, 1.2)",
"[1600, 1800)","[1.2, 1.8)",
"[1600, 1800)","[1.8, 2.4)",
"[1600, 1800)","[2.4, 3)",
"[1800, 2000)","[-3, -2.4)",
"[1800, 2000)","[-2.4, -1.8)",0.31765005052069456
"[1800, 2000)","[-1.8, -1.2)",0.0
"[1800, 2000)","[-1.2, -0.6)",
"[1800, 2000)","[-0.6, 0)",
"[1800, 2000)","[0, 0.6)",
"[1800, 2000)","[0.6, 1.2)",
"[1800, 2000)","[1.2, 1.8)",
"[1800, 2000)","[1.8, 2.4)",
"[1800, 2000)","[2.4, 3)",
