pt,eta,efficiency
"[0, 200)","[-3, -2.4)",0.0
"[0, 200)","[-2.4, -1.8)",0.0
"[0, 200)","[-1.8, -1.2)",
"[0, 200)","[-1.2, -0.6)",
"[0, 200)","[-0.6, 0)",
"[0, 200)","[0, 0.6)",
"[0, 200)","[0.6, 1.2)",
"[0, 200)","[1.2, 1.8)",
"[0, 200)","[1.8, 2.4)",
"[0, 200)","[2.4, 3)",
"[200, 400)","[-3, -2.4)",0.4716981132075472
"[200, 400)","[-2.4, -1.8)",0.2
"[200, 400)","[-1.8, -1.2)",
"[200, 400)","[-1.2, -0.6)",
"[200, 400)","[-0.6, 0)",
"[200, 400)","[0, 0.6)",
"[200, 400)","[0.6, 1.2)",
"[200, 400)","[1.2, 1.8)",
"[200, 400)","[1.8, 2.4)",
"[200, 400)","[2.4, 3)",
"[400, 600)","[-3, -2.4)",0.5865921787709497
"[400, 600)","[-2.4, -1.8)",0.4375
"[400, 600)","[-1.8, -1.2)",
"[400, 600)","[-1.2, -0.6)",
"[400, 600)","[-0.6, 0)",
"[400, 600)","[0, 0.6)",
"[400, 600)","[0.6, 1.2)",
"[400, 600)","[1.2, 1.8)",
"[400, 600)","[1.8, 2.4)",
"[400, 600)","[2.4, 3)",
"[600, 800)","[-3, -2.4)",0.6151761517615176
"[600, 800)","[-2.4, -1.8)",0.5242718446601942
"[600, 800)","[-1.8, -1.2)",1.0
"[600, 800)","[-1.2, -0.6)",
"[600, 800)","[-0.6, 0)",
"[600, 800)","[0, 0.6)",
"[600, 800)","[0.6, 1.2)",
"[600, 800)","[1.2, 1.8)",
"[600, 800)","[1.8, 2.4)",
"[600, 800)","[2.4, 3)",
"[800, 1000)","[-3, -2.4)",0.5752808988764045
"[800, 1000)","[-2.4, -1.8)",0.6212121212121212
"[800, 1000)","[-1.8, -1.2)",
"[800, 1000)","[-1.2, -0.6)",
"[800, 1000)","[-0.6, 0)",
"[800, 1000)","[0, 0.6)",
"[800, 1000)","[0.6, 1.2)",
"[800, 1000)","[1.2, 1.8)",
"[800, 1000)","[1.8, 2.4)",
"[800, 1000)","[2.4, 3)",
"[1000, 1200)","[-3, -2.4)",0.6023809523809524
"[1000, 1200)","[-2.4, -1.8)",0.6131386861313869
"[1000, 1200)","[-1.8, -1.2)",0.0
"[1000, 1200)","[-1.2, -0.6)",
"[1000, 1200)","[-0.6, 0)",
"[1000, 1200)","[0, 0.6)",
"[1000, 1200)","[0.6, 1.2)",
"[1000, 1200)","[1.2, 1.8)",
"[1000, 1200)","[1.8, 2.4)",
"[1000, 1200)","[2.4, 3)",
"[1200, 1400)","[-3, -2.4)",0.6072507552870091
"[1200, 1400)","[-2.4, -1.8)",0.61
"[1200, 1400)","[-1.8, -1.2)",1.0
"[1200, 1400)","[-1.2, -0.6)",
"[1200, 1400)","[-0.6, 0)",
"[1200, 1400)","[0, 0.6)",
"[1200, 1400)","[0.6, 1.2)",
"[1200, 1400)","[1.2, 1.8)",
"[1200, 1400)","[1.8, 2.4)",
"[1200, 1400)","[2.4, 3)",
"[1400, 1600)","[-3, -2.4)",0.4853801169590643
"[1400, 1600)","[-2.4, -1.8)",0.4772727272727273
"[1400, 1600)","[-1.8, -1.2)",
"[1400, 1600)","[-1.2, -0.6)",
"[1400, 1600)","[-0.6, 0)",
"[1400, 1600)","[0, 0.6)",
"[1400, 1600)","[0.6, 1.2)",
"[1400, 1600)","[1.2, 1.8)",
"[1400, 1600)","[1.8, 2.4)",
"[1400, 1600)","[2.4, 3)",
"[1600, 1800)","[-3, -2.4)",0.43636363636363634
"[1600, 1800)","[-2.4, -1.8)",0.42857142857142855
"[1600, 1800)","[-1.8, -1.2)",
"[1600, 1800)","[-1.2, -0.6)",
"[1600, 1800)","[-0.6, 0)",
"[1600, 1800)","[0, 0.6)",
"[1600, 1800)","[0.6, 1.2)",
"[1600, 1800)","[1.2, 1.8)",
"[1600, 1800)","[1.8, 2.4)",
"[1600, 1800)","[2.4, 3)",
"[1800, 2000)","[-3, -2.4)",0.6666666666666666
"[1800, 2000)","[-2.4, -1.8)",
"[1800, 2000)","[-1.8, -1.2)",
"[1800, 2000)","[-1.2, -0.6)",
"[1800, 2000)","[-0.6, 0)",
"[1800, 2000)","[0, 0.6)",
"[1800, 2000)","[0.6, 1.2)",
"[1800, 2000)","[1.2, 1.8)",
"[1800, 2000)","[1.8, 2.4)",
"[1800, 2000)","[2.4, 3)",
