pt,eta,efficiency
"[0, 200)","[-2.4, -1.8)",0.2
"[0, 200)","[-1.8, -1.2)",0.3746645195920558
"[0, 200)","[-1.2, -0.6)",0.369156367544331
"[0, 200)","[-0.6, 0)",0.5
"[0, 200)","[0, 0.6)",0.0
"[0, 200)","[0.6, 1.2)",0.2222222222222222
"[0, 200)","[1.2, 1.8)",0.43422614002373283
"[0, 200)","[1.8, 2.4)",0.41223993708443557
"[200, 400)","[-2.4, -1.8)",0.32666666666666666
"[200, 400)","[-1.8, -1.2)",0.0
"[200, 400)","[-1.2, -0.6)",0.3870967741935484
"[200, 400)","[-0.6, 0)",0.5159364207547955
"[200, 400)","[0, 0.6)",0.46692476527252774
"[200, 400)","[0.6, 1.2)",0.3680456490727532
"[200, 400)","[1.2, 1.8)",0.0
"[200, 400)","[1.8, 2.4)",0.3840304182509506
"[400, 800)","[-2.4, -1.8)",0.5291892909827062
"[400, 800)","[-1.8, -1.2)",0.4629148383248839
"[400, 800)","[-1.2, -0.6)",0.32507507507507505
"[400, 800)","[-0.6, 0)",0.5
"[400, 800)","[0, 0.6)",0.3495575221238938
"[400, 800)","[0.6, 1.2)",0.5276158283197916
"[400, 800)","[1.2, 1.8)",0.4621374302144986
"[400, 800)","[1.8, 2.4)",0.35871156661786235
"[800, 1600)","[-2.4, -1.8)",0.16666666666666666
"[800, 1600)","[-1.8, -1.2)",0.33678756476683935
"[800, 1600)","[-1.2, -0.6)",0.5179750701667493
"[800, 1600)","[-0.6, 0)",0.4665332848308476
"[800, 1600)","[0, 0.6)",0.35470668485675305
"[800, 1600)","[0.6, 1.2)",0.0
"[800, 1600)","[1.2, 1.8)",0.25555555555555554
"[800, 1600)","[1.8, 2.4)",0.4419715187174896
"[1600, 3200)","[-2.4, -1.8)",0.42670816659255967
"[1600, 3200)","[-1.8, -1.2)",0.3541666666666667
"[1600, 3200)","[-1.2, -0.6)",0.0
"[1600, 3200)","[-0.6, 0)",0.2
"[1600, 3200)","[0, 0.6)",0.3844076341375585
"[1600, 3200)","[0.6, 1.2)",0.37690288713910763
"[1600, 3200)","[1.2, 1.8)",0.25
"[1600, 3200)","[1.8, 2.4)",0.0
