pt,eta,efficiency
"[0, 200)","[-2.4, -1.8)",1.0
"[0, 200)","[-1.8, -1.2)",0.34615384615384615
"[0, 200)","[-1.2, -0.6)",0.27419354838709675
"[0, 200)","[-0.6, 0)",0.0
"[0, 200)","[0, 0.6)",0.0
"[0, 200)","[0.6, 1.2)",0.1
"[0, 200)","[1.2, 1.8)",0.4513129102844639
"[0, 200)","[1.8, 2.4)",0.4106280193236715
"[200, 400)","[-2.4, -1.8)",0.1111111111111111
"[200, 400)","[-1.8, -1.2)",0.0
"[200, 400)","[-1.2, -0.6)",0.32142857142857145
"[200, 400)","[-0.6, 0)",0.5171102661596958
"[200, 400)","[0, 0.6)",0.47001713306681897
"[200, 400)","[0.6, 1.2)",0.42857142857142855
"[200, 400)","[1.2, 1.8)",0.0
"[200, 400)","[1.8, 2.4)",0.42105263157894735
"[400, 800)","[-2.4, -1.8)",0.5384835889350724
"[400, 800)","[-1.8, -1.2)",0.45656125045438023
"[400, 800)","[-1.2, -0.6)",0.425
"[400, 800)","[-0.6, 0)",0.0
"[400, 800)","[0, 0.6)",0.3103448275862069
"[400, 800)","[0.6, 1.2)",0.545519508360726
"[400, 800)","[1.2, 1.8)",0.44942247112355616
"[400, 800)","[1.8, 2.4)",0.3473684210526316
"[800, 1600)","[-2.4, -1.8)",0.0
"[800, 1600)","[-1.8, -1.2)",0.52
"[800, 1600)","[-1.2, -0.6)",0.5420482930890924
"[800, 1600)","[-0.6, 0)",0.4549086757990868
"[800, 1600)","[0, 0.6)",0.3953488372093023
"[800, 1600)","[0.6, 1.2)",0.0
"[800, 1600)","[1.2, 1.8)",0.18181818181818182
"[800, 1600)","[1.8, 2.4)",0.4259356879283078
"[1600, 3200)","[-2.4, -1.8)",0.4288194444444444
"[1600, 3200)","[-1.8, -1.2)",0.2222222222222222
"[1600, 3200)","[-1.2, -0.6)",0.0
"[1600, 3200)","[-0.6, 0)",0.0
"[1600, 3200)","[0, 0.6)",0.380327868852459
"[1600, 3200)","[0.6, 1.2)",0.390625
"[1600, 3200)","[1.2, 1.8)",0.0
"[1600, 3200)","[1.8, 2.4)",0.0
