pt,eta,efficiency
"[0, 200)","[-2.4, -1.8)",0.375
"[0, 200)","[-1.8, -1.2)",0.3803418803418803
"[0, 200)","[-1.2, -0.6)",0.3830525272547076
"[0, 200)","[-0.6, 0)",0.0
"[0, 200)","[0, 0.6)",0.0
"[0, 200)","[0.6, 1.2)",0.16279069767441862
"[0, 200)","[1.2, 1.8)",0.43654721047170564
"[0, 200)","[1.8, 2.4)",0.4221567389321546
"[200, 400)","[-2.4, -1.8)",0.310126582278481
"[200, 400)","[-1.8, -1.2)",0.0
"[200, 400)","[-1.2, -0.6)",0.3382352941176471
"[200, 400)","[-0.6, 0)",0.5171281623047579
"[200, 400)","[0, 0.6)",0.46995769494626116
"[200, 400)","[0.6, 1.2)",0.3635116598079561
"[200, 400)","[1.2, 1.8)",0.3333333333333333
"[200, 400)","[1.8, 2.4)",0.36764705882352944
"[400, 800)","[-2.4, -1.8)",0.5293900394897583
"[400, 800)","[-1.8, -1.2)",0.46238197381873586
"[400, 800)","[-1.2, -0.6)",0.329608938547486
"[400, 800)","[-0.6, 0)",0.25
"[400, 800)","[0, 0.6)",0.33807829181494664
"[400, 800)","[0.6, 1.2)",0.5309220018672023
"[400, 800)","[1.2, 1.8)",0.46192138352306533
"[400, 800)","[1.8, 2.4)",0.3580508474576271
"[800, 1600)","[-2.4, -1.8)",0.4
"[800, 1600)","[-1.8, -1.2)",0.3825136612021858
"[800, 1600)","[-1.2, -0.6)",0.5223123924105707
"[800, 1600)","[-0.6, 0)",0.4661688684663986
"[800, 1600)","[0, 0.6)",0.38413098236775817
"[800, 1600)","[0.6, 1.2)",1.7976931348623157e+308
"[800, 1600)","[1.2, 1.8)",0.21212121212121213
"[800, 1600)","[1.8, 2.4)",0.4408795243225987
"[1600, 3200)","[-2.4, -1.8)",0.4190066318611542
"[1600, 3200)","[-1.8, -1.2)",0.35374149659863946
"[1600, 3200)","[-1.2, -0.6)",0.0
"[1600, 3200)","[-0.6, 0)",0.14285714285714285
"[1600, 3200)","[0, 0.6)",0.3725940314321031
"[1600, 3200)","[0.6, 1.2)",0.3821689259645464
"[1600, 3200)","[1.2, 1.8)",0.8
"[1600, 3200)","[1.8, 2.4)",0.0
