pt,eta,efficiency
"[0, 80)","[0, 0.096)",0.5682127787503481
"[0, 80)","[0.096, 0.192)",0.6811396274011747
"[0, 80)","[0.192, 0.288)",0.6806477110964032
"[0, 80)","[0.288, 0.384)",0.6814498039230317
"[0, 80)","[0.384, 0.48)",0.638493661345063
"[0, 80)","[0.48, 0.576)",0.6332710009672581
"[0, 80)","[0.576, 0.672)",0.48268704436109466
"[0, 80)","[0.672, 0.768)",0.5413272315995686
"[0, 80)","[0.768, 0.864)",0.44950038985061136
"[0, 80)","[0.864, 0.96)",0.5600784308478901
"[0, 80)","[0.96, 1.056)",0.6027099725157876
"[0, 80)","[1.056, 1.152)",0.5332343222456698
"[0, 80)","[1.152, 1.248)",0.47331030967622023
"[0, 80)","[1.248, 1.344)",0.4149922117882814
"[0, 80)","[1.344, 1.44)",0.5275367457529304
"[0, 80)","[1.44, 1.536)",0.3072177117560784
"[0, 80)","[1.536, 1.632)",0.5296148895314302
"[0, 80)","[1.632, 1.728)",0.690099805274852
"[0, 80)","[1.728, 1.824)",0.6026367987396507
"[0, 80)","[1.824, 1.92)",0.6528609107784292
"[0, 80)","[1.92, 2.016)",0.6174212759466483
"[0, 80)","[2.016, 2.112)",0.4146336753115458
"[0, 80)","[2.112, 2.208)",0.597857540508032
"[0, 80)","[2.208, 2.304)",0.3068958594276707
"[0, 80)","[2.304, 2.4)",0.3758285808489606
"[80, 160)","[0, 0.096)",0.46171233309348536
"[80, 160)","[0.096, 0.192)",0.6485635997014189
"[80, 160)","[0.192, 0.288)",0.6493726472653957
"[80, 160)","[0.288, 0.384)",0.7282258352923012
"[80, 160)","[0.384, 0.48)",0.5748045465284723
"[80, 160)","[0.48, 0.576)",0.5638028268817217
"[80, 160)","[0.576, 0.672)",0.4352045731870084
"[80, 160)","[0.672, 0.768)",0.7233460197590529
"[80, 160)","[0.768, 0.864)",0.5574408570423005
"[80, 160)","[0.864, 0.96)",0.559737698049263
"[80, 160)","[0.96, 1.056)",0.5932290462194029
"[80, 160)","[1.056, 1.152)",0.589294195211791
"[80, 160)","[1.152, 1.248)",0.38094789792433303
"[80, 160)","[1.248, 1.344)",0.49851675572270654
"[80, 160)","[1.344, 1.44)",0.568989745896989
"[80, 160)","[1.44, 1.536)",0.19835087742462823
"[80, 160)","[1.536, 1.632)",0.46614741805693993
"[80, 160)","[1.632, 1.728)",0.44926818399752244
"[80, 160)","[1.728, 1.824)",0.5169053052498108
"[80, 160)","[1.824, 1.92)",0.39763496749023547
"[80, 160)","[1.92, 2.016)",0.5271919202923074
"[80, 160)","[2.016, 2.112)",0.5115069550872259
"[80, 160)","[2.112, 2.208)",0.3390878889435394
"[80, 160)","[2.208, 2.304)",0.5065850216953723
"[80, 160)","[2.304, 2.4)",0.5255577921973179
"[160, 240)","[0, 0.096)",0.5386492280595239
"[160, 240)","[0.096, 0.192)",0.6405083722403848
"[160, 240)","[0.192, 0.288)",0.6437036492942615
"[160, 240)","[0.288, 0.384)",0.6428975792172905
"[160, 240)","[0.384, 0.48)",0.7194754561467477
"[160, 240)","[0.48, 0.576)",0.6255424577349157
"[160, 240)","[0.576, 0.672)",0.5480985258178765
"[160, 240)","[0.672, 0.768)",0.5883731058387974
"[160, 240)","[0.768, 0.864)",0.49617875852431353
"[160, 240)","[0.864, 0.96)",0.6040579532260092
"[160, 240)","[0.96, 1.056)",0.6344641456096479
"[160, 240)","[1.056, 1.152)",0.6029880747677363
"[160, 240)","[1.152, 1.248)",0.675000583275941
"[160, 240)","[1.248, 1.344)",0.4898064903037036
"[160, 240)","[1.344, 1.44)",0.4171659216236807
"[160, 240)","[1.44, 1.536)",0.5080723419789709
"[160, 240)","[1.536, 1.632)",0.5144416410394237
"[160, 240)","[1.632, 1.728)",0.5027146434497877
"[160, 240)","[1.728, 1.824)",0.24962087851245446
"[160, 240)","[1.824, 1.92)",0.5230722577881154
"[160, 240)","[1.92, 2.016)",0.49397002317915883
"[160, 240)","[2.016, 2.112)",0.6494092389328399
"[160, 240)","[2.112, 2.208)",0.7405313535245602
"[160, 240)","[2.208, 2.304)",0.5150510778965324
"[160, 240)","[2.304, 2.4)",0.6056450719826714
"[240, 320)","[0, 0.096)",0.5739444111179588
"[240, 320)","[0.096, 0.192)",0.611124698928447
"[240, 320)","[0.192, 0.288)",0.6766196440080242
"[240, 320)","[0.288, 0.384)",0.7264651037534853
"[240, 320)","[0.384, 0.48)",0.6375199961156877
"[240, 320)","[0.48, 0.576)",0.6408046484597222
"[240, 320)","[0.576, 0.672)",0.5199519455113183
"[240, 320)","[0.672, 0.768)",0.6936252480776575
"[240, 320)","[0.768, 0.864)",0.6959396671046584
"[240, 320)","[0.864, 0.96)",0.7191536324046736
"[240, 320)","[0.96, 1.056)",0.43316279046019746
"[240, 320)","[1.056, 1.152)",0.5366273006398699
"[240, 320)","[1.152, 1.248)",0.6390623904866111
