pt,eta,efficiency
"[0, 80)","[0, 0.096)",0.0
"[0, 80)","[0.096, 0.192)",0.0
"[0, 80)","[0.192, 0.288)",0.7142857142857143
"[0, 80)","[0.288, 0.384)",0.711340206185567
"[0, 80)","[0.384, 0.48)",0.7884615384615384
"[0, 80)","[0.48, 0.576)",0.7424242424242424
"[0, 80)","[0.576, 0.672)",0.6
"[0, 80)","[0.672, 0.768)",0.3333333333333333
"[0, 80)","[0.768, 0.864)",1.0
"[0, 80)","[0.864, 0.96)",0.5
"[0, 80)","[0.96, 1.056)",0.0
"[0, 80)","[1.056, 1.152)",0.0
"[0, 80)","[1.152, 1.248)",1.0
"[0, 80)","[1.248, 1.344)",0.0
"[0, 80)","[1.344, 1.44)",0.0
"[0, 80)","[1.44, 1.536)",0.0
"[0, 80)","[1.536, 1.632)",0.0
"[0, 80)","[1.632, 1.728)",0.0
"[0, 80)","[1.728, 1.824)",0.0
"[0, 80)","[1.824, 1.92)",0.0
"[0, 80)","[1.92, 2.016)",0.0
"[0, 80)","[2.016, 2.112)",0.0
"[0, 80)","[2.112, 2.208)",0.0
"[0, 80)","[2.208, 2.304)",0.0
"[0, 80)","[2.304, 2.4)",0.0
"[80, 160)","[0, 0.096)",0.0
"[80, 160)","[0.096, 0.192)",0.0
"[80, 160)","[0.192, 0.288)",0.5384615384615384
"[80, 160)","[0.288, 0.384)",0.686046511627907
"[80, 160)","[0.384, 0.48)",0.7615384615384615
"[80, 160)","[0.48, 0.576)",0.746031746031746
"[80, 160)","[0.576, 0.672)",0.8095238095238095
"[80, 160)","[0.672, 0.768)",0.9
"[80, 160)","[0.768, 0.864)",0.5
"[80, 160)","[0.864, 0.96)",1.0
"[80, 160)","[0.96, 1.056)",0.0
"[80, 160)","[1.056, 1.152)",1.0
"[80, 160)","[1.152, 1.248)",0.0
"[80, 160)","[1.248, 1.344)",0.0
"[80, 160)","[1.344, 1.44)",0.0
"[80, 160)","[1.44, 1.536)",0.0
"[80, 160)","[1.536, 1.632)",0.0
"[80, 160)","[1.632, 1.728)",0.0
"[80, 160)","[1.728, 1.824)",0.0
"[80, 160)","[1.824, 1.92)",0.0
"[80, 160)","[1.92, 2.016)",0.0
"[80, 160)","[2.016, 2.112)",0.0
"[80, 160)","[2.112, 2.208)",0.0
"[80, 160)","[2.208, 2.304)",0.0
"[80, 160)","[2.304, 2.4)",0.0
"[160, 240)","[0, 0.096)",0.0
"[160, 240)","[0.096, 0.192)",0.0
"[160, 240)","[0.192, 0.288)",0.7333333333333333
"[160, 240)","[0.288, 0.384)",0.7692307692307693
"[160, 240)","[0.384, 0.48)",0.7606837606837606
"[160, 240)","[0.48, 0.576)",0.7419354838709677
"[160, 240)","[0.576, 0.672)",0.6111111111111112
"[160, 240)","[0.672, 0.768)",0.6666666666666666
"[160, 240)","[0.768, 0.864)",0.5
"[160, 240)","[0.864, 0.96)",1.0
"[160, 240)","[0.96, 1.056)",0.0
"[160, 240)","[1.056, 1.152)",0.0
"[160, 240)","[1.152, 1.248)",0.0
"[160, 240)","[1.248, 1.344)",0.0
"[160, 240)","[1.344, 1.44)",0.0
"[160, 240)","[1.44, 1.536)",0.0
"[160, 240)","[1.536, 1.632)",0.0
"[160, 240)","[1.632, 1.728)",0.0
"[160, 240)","[1.728, 1.824)",0.0
"[160, 240)","[1.824, 1.92)",0.0
"[160, 240)","[1.92, 2.016)",0.0
"[160, 240)","[2.016, 2.112)",0.0
"[160, 240)","[2.112, 2.208)",0.0
"[160, 240)","[2.208, 2.304)",0.0
"[160, 240)","[2.304, 2.4)",0.0
"[240, 320)","[0, 0.096)",0.0
"[240, 320)","[0.096, 0.192)",0.0
"[240, 320)","[0.192, 0.288)",0.625
"[240, 320)","[0.288, 0.384)",0.7941176470588235
"[240, 320)","[0.384, 0.48)",0.728
"[240, 320)","[0.48, 0.576)",0.7333333333333333
"[240, 320)","[0.576, 0.672)",0.7058823529411765
