pt,eta,efficiency
"[0, 80)","[0, 0.096)",0.0
"[0, 80)","[0.096, 0.192)",0.4
"[0, 80)","[0.192, 0.288)",0.6979495268138801
"[0, 80)","[0.288, 0.384)",0.7491017964071857
"[0, 80)","[0.384, 0.48)",0.7431377825618946
"[0, 80)","[0.48, 0.576)",0.7345603271983641
"[0, 80)","[0.576, 0.672)",0.7195000991866694
"[0, 80)","[0.672, 0.768)",0.6988801327250104
"[0, 80)","[0.768, 0.864)",0.6613657623947614
"[0, 80)","[0.864, 0.96)",0.645224171539961
"[0, 80)","[0.96, 1.056)",0.6917562724014337
"[0, 80)","[1.056, 1.152)",0.6370370370370371
"[0, 80)","[1.152, 1.248)",0.6091954022988506
"[0, 80)","[1.248, 1.344)",0.58
"[0, 80)","[1.344, 1.44)",0.5789473684210527
"[0, 80)","[1.44, 1.536)",0.625
"[0, 80)","[1.536, 1.632)",0.875
"[0, 80)","[1.632, 1.728)",0.25
"[0, 80)","[1.728, 1.824)",0.0
"[0, 80)","[1.824, 1.92)",0.0
"[0, 80)","[1.92, 2.016)",1.7976931348623157e+308
"[0, 80)","[2.016, 2.112)",0.5
"[0, 80)","[2.112, 2.208)",1.0
"[0, 80)","[2.208, 2.304)",0.0
"[0, 80)","[2.304, 2.4)",0.0
"[80, 160)","[0, 0.096)",0.0
"[80, 160)","[0.096, 0.192)",0.0
"[80, 160)","[0.192, 0.288)",0.7282850779510023
"[80, 160)","[0.288, 0.384)",0.7543877244007622
"[80, 160)","[0.384, 0.48)",0.7458462404956351
"[80, 160)","[0.48, 0.576)",0.7345609929799573
"[80, 160)","[0.576, 0.672)",0.7287266762353906
"[80, 160)","[0.672, 0.768)",0.6996229576874738
"[80, 160)","[0.768, 0.864)",0.7043726235741445
"[80, 160)","[0.864, 0.96)",0.6394422310756972
"[80, 160)","[0.96, 1.056)",0.55859375
"[80, 160)","[1.056, 1.152)",0.6122448979591837
"[80, 160)","[1.152, 1.248)",0.5294117647058824
"[80, 160)","[1.248, 1.344)",0.5909090909090909
"[80, 160)","[1.344, 1.44)",0.2857142857142857
"[80, 160)","[1.44, 1.536)",0.6153846153846154
"[80, 160)","[1.536, 1.632)",1.1666666666666667
"[80, 160)","[1.632, 1.728)",0.5
"[80, 160)","[1.728, 1.824)",0.0
"[80, 160)","[1.824, 1.92)",2.0
"[80, 160)","[1.92, 2.016)",1.0
"[80, 160)","[2.016, 2.112)",0.0
"[80, 160)","[2.112, 2.208)",1.0
"[80, 160)","[2.208, 2.304)",1.0
"[80, 160)","[2.304, 2.4)",0.0
"[160, 240)","[0, 0.096)",0.0
"[160, 240)","[0.096, 0.192)",0.2
"[160, 240)","[0.192, 0.288)",0.7317073170731707
"[160, 240)","[0.288, 0.384)",0.7527165634203311
"[160, 240)","[0.384, 0.48)",0.7590422089595168
"[160, 240)","[0.48, 0.576)",0.748490739793308
"[160, 240)","[0.576, 0.672)",0.7291454211707118
"[160, 240)","[0.672, 0.768)",0.7140425531914893
"[160, 240)","[0.768, 0.864)",0.6700091157702825
"[160, 240)","[0.864, 0.96)",0.6714285714285714
"[160, 240)","[0.96, 1.056)",0.6375545851528385
"[160, 240)","[1.056, 1.152)",0.6382978723404256
"[160, 240)","[1.152, 1.248)",0.6086956521739131
"[160, 240)","[1.248, 1.344)",0.5588235294117647
"[160, 240)","[1.344, 1.44)",0.72
"[160, 240)","[1.44, 1.536)",0.7272727272727273
"[160, 240)","[1.536, 1.632)",0.7
"[160, 240)","[1.632, 1.728)",0.5
"[160, 240)","[1.728, 1.824)",0.5
"[160, 240)","[1.824, 1.92)",0.0
"[160, 240)","[1.92, 2.016)",0.0
"[160, 240)","[2.016, 2.112)",0.0
"[160, 240)","[2.112, 2.208)",0.0
"[160, 240)","[2.208, 2.304)",0.0
"[160, 240)","[2.304, 2.4)",0.0
"[240, 320)","[0, 0.096)",0.0
"[240, 320)","[0.096, 0.192)",0.25
"[240, 320)","[0.192, 0.288)",0.7310742609949531
"[240, 320)","[0.288, 0.384)",0.760195081456885
"[240, 320)","[0.384, 0.48)",0.757541018843591
"[240, 320)","[0.48, 0.576)",0.7454660480809785
"[240, 320)","[0.576, 0.672)",0.7295234165463174
"[240, 320)","[0.672, 0.768)",0.7055160142348754
"[240, 320)","[0.768, 0.864)",0.7114427860696517
"[240, 320)","[0.864, 0.96)",0.6455696202531646
"[240, 320)","[0.96, 1.056)",0.6781609195402298
"[240, 320)","[1.056, 1.152)",0.7073170731707317
"[240, 320)","[1.152, 1.248)",0.6507936507936508
"[240, 320)","[1.248, 1.344)",0.42857142857142855
"[240, 320)","[1.344, 1.44)",0.6111111111111112
"[240, 320)","[1.44, 1.536)",0.4444444444444444
"[240, 320)","[1.536, 1.632)",0.9090909090909091
"[240, 320)","[1.632, 1.728)",0.4
"[240, 320)","[1.728, 1.824)",0.0
"[240, 320)","[1.824, 1.92)",1.0
"[240, 320)","[1.92, 2.016)",0.0
"[240, 320)","[2.016, 2.112)",0.0
"[240, 320)","[2.112, 2.208)",1.0
"[240, 320)","[2.208, 2.304)",0.0
"[240, 320)","[2.304, 2.4)",0.0
"[320, 400)","[0, 0.096)",0.0
"[320, 400)","[0.096, 0.192)",0.5
"[320, 400)","[0.192, 0.288)",0.7342166796570537
"[320, 400)","[0.288, 0.384)",0.7692059393156876
"[320, 400)","[0.384, 0.48)",0.7596204139580064
"[320, 400)","[0.48, 0.576)",0.7444444444444445
"[320, 400)","[0.576, 0.672)",0.7215491129381221
"[320, 400)","[0.672, 0.768)",0.7075729927007299
"[320, 400)","[0.768, 0.864)",0.6800401203610833
"[320, 400)","[0.864, 0.96)",0.6779661016949152
"[320, 400)","[0.96, 1.056)",0.6877828054298643
"[320, 400)","[1.056, 1.152)",0.6396396396396397
"[320, 400)","[1.152, 1.248)",0.6101694915254238
"[320, 400)","[1.248, 1.344)",0.6388888888888888
"[320, 400)","[1.344, 1.44)",0.7272727272727273
"[320, 400)","[1.44, 1.536)",0.5454545454545454
"[320, 400)","[1.536, 1.632)",0.2222222222222222
"[320, 400)","[1.632, 1.728)",0.5
"[320, 400)","[1.728, 1.824)",0.5
"[320, 400)","[1.824, 1.92)",0.6
"[320, 400)","[1.92, 2.016)",0.0
"[320, 400)","[2.016, 2.112)",0.0
"[320, 400)","[2.112, 2.208)",1.0
"[320, 400)","[2.208, 2.304)",0.0
"[320, 400)","[2.304, 2.4)",0.0
"[400, 480)","[0, 0.096)",0.0
"[400, 480)","[0.096, 0.192)",0.0
"[400, 480)","[0.192, 0.288)",0.7128325508607198
"[400, 480)","[0.288, 0.384)",0.7619618528610355
"[400, 480)","[0.384, 0.48)",0.757986005476118
"[400, 480)","[0.48, 0.576)",0.7417015973717005
"[400, 480)","[0.576, 0.672)",0.7437141596823996
"[400, 480)","[0.672, 0.768)",0.7204091573307355
"[400, 480)","[0.768, 0.864)",0.6996966632962589
"[400, 480)","[0.864, 0.96)",0.692929292929293
"[400, 480)","[0.96, 1.056)",0.6666666666666666
"[400, 480)","[1.056, 1.152)",0.6736842105263158
"[400, 480)","[1.152, 1.248)",0.6111111111111112
"[400, 480)","[1.248, 1.344)",0.6666666666666666
"[400, 480)","[1.344, 1.44)",0.5217391304347826
"[400, 480)","[1.44, 1.536)",0.4
"[400, 480)","[1.536, 1.632)",0.75
"[400, 480)","[1.632, 1.728)",1.0
"[400, 480)","[1.728, 1.824)",0.0
"[400, 480)","[1.824, 1.92)",1.0
"[400, 480)","[1.92, 2.016)",0.0
"[400, 480)","[2.016, 2.112)",0.5
"[400, 480)","[2.112, 2.208)",0.0
"[400, 480)","[2.208, 2.304)",0.0
"[400, 480)","[2.304, 2.4)",0.0
"[480, 560)","[0, 0.096)",0.0
"[480, 560)","[0.096, 0.192)",0.2857142857142857
"[480, 560)","[0.192, 0.288)",0.7060755336617406
"[480, 560)","[0.288, 0.384)",0.7625467316188965
"[480, 560)","[0.384, 0.48)",0.7628301737130165
"[480, 560)","[0.48, 0.576)",0.7545316337270495
"[480, 560)","[0.576, 0.672)",0.7445394112060779
"[480, 560)","[0.672, 0.768)",0.7106469689251146
"[480, 560)","[0.768, 0.864)",0.7038327526132404
"[480, 560)","[0.864, 0.96)",0.6947608200455581
"[480, 560)","[0.96, 1.056)",0.6486486486486487
"[480, 560)","[1.056, 1.152)",0.7431192660550459
"[480, 560)","[1.152, 1.248)",0.5925925925925926
"[480, 560)","[1.248, 1.344)",0.5909090909090909
"[480, 560)","[1.344, 1.44)",0.5
"[480, 560)","[1.44, 1.536)",0.5555555555555556
"[480, 560)","[1.536, 1.632)",0.6
"[480, 560)","[1.632, 1.728)",0.6666666666666666
"[480, 560)","[1.728, 1.824)",1.0
"[480, 560)","[1.824, 1.92)",0.5
"[480, 560)","[1.92, 2.016)",0.0
"[480, 560)","[2.016, 2.112)",1.0
"[480, 560)","[2.112, 2.208)",0.0
"[480, 560)","[2.208, 2.304)",0.0
"[480, 560)","[2.304, 2.4)",0.0
"[560, 640)","[0, 0.096)",0.0
"[560, 640)","[0.096, 0.192)",0.25
"[560, 640)","[0.192, 0.288)",0.7194127243066885
"[560, 640)","[0.288, 0.384)",0.7521438780371605
"[560, 640)","[0.384, 0.48)",0.7571343385296874
"[560, 640)","[0.48, 0.576)",0.7433044378315435
"[560, 640)","[0.576, 0.672)",0.7343515272909364
"[560, 640)","[0.672, 0.768)",0.7299719887955182
"[560, 640)","[0.768, 0.864)",0.6913145539906104
"[560, 640)","[0.864, 0.96)",0.7150684931506849
"[560, 640)","[0.96, 1.056)",0.6721311475409836
"[560, 640)","[1.056, 1.152)",0.574468085106383
"[560, 640)","[1.152, 1.248)",0.7666666666666667
"[560, 640)","[1.248, 1.344)",0.76
"[560, 640)","[1.344, 1.44)",0.875
"[560, 640)","[1.44, 1.536)",0.7142857142857143
"[560, 640)","[1.536, 1.632)",0.125
"[560, 640)","[1.632, 1.728)",0.5
"[560, 640)","[1.728, 1.824)",0.0
"[560, 640)","[1.824, 1.92)",-1.7976931348623157e+308
"[560, 640)","[1.92, 2.016)",0.0
"[560, 640)","[2.016, 2.112)",0.0
"[560, 640)","[2.112, 2.208)",0.0
"[560, 640)","[2.208, 2.304)",0.0
"[560, 640)","[2.304, 2.4)",0.0
"[640, 720)","[0, 0.096)",0.0
"[640, 720)","[0.096, 0.192)",0.0
"[640, 720)","[0.192, 0.288)",0.7177914110429447
"[640, 720)","[0.288, 0.384)",0.7575134857436424
"[640, 720)","[0.384, 0.48)",0.7602601685599121
"[640, 720)","[0.48, 0.576)",0.7510787486515642
"[640, 720)","[0.576, 0.672)",0.7435757244395844
"[640, 720)","[0.672, 0.768)",0.7276674937965261
"[640, 720)","[0.768, 0.864)",0.7163978494623656
"[640, 720)","[0.864, 0.96)",0.7096774193548387
"[640, 720)","[0.96, 1.056)",0.6516129032258065
"[640, 720)","[1.056, 1.152)",0.6065573770491803
"[640, 720)","[1.152, 1.248)",0.7428571428571429
"[640, 720)","[1.248, 1.344)",0.7857142857142857
"[640, 720)","[1.344, 1.44)",0.3076923076923077
"[640, 720)","[1.44, 1.536)",0.5
"[640, 720)","[1.536, 1.632)",0.25
"[640, 720)","[1.632, 1.728)",1.0
"[640, 720)","[1.728, 1.824)",0.0
"[640, 720)","[1.824, 1.92)",0.0
"[640, 720)","[1.92, 2.016)",0.0
"[640, 720)","[2.016, 2.112)",0.0
"[640, 720)","[2.112, 2.208)",0.0
"[640, 720)","[2.208, 2.304)",0.0
"[640, 720)","[2.304, 2.4)",0.0
"[720, 800)","[0, 0.096)",0.0
"[720, 800)","[0.096, 0.192)",0.14285714285714285
"[720, 800)","[0.192, 0.288)",0.7160826594788859
"[720, 800)","[0.288, 0.384)",0.7363849441610368
"[720, 800)","[0.384, 0.48)",0.742890307603018
"[720, 800)","[0.48, 0.576)",0.7431622056457511
"[720, 800)","[0.576, 0.672)",0.7450682852807283
"[720, 800)","[0.672, 0.768)",0.7109788359788359
"[720, 800)","[0.768, 0.864)",0.6823338735818476
"[720, 800)","[0.864, 0.96)",0.6298932384341637
"[720, 800)","[0.96, 1.056)",0.625
"[720, 800)","[1.056, 1.152)",0.5609756097560976
"[720, 800)","[1.152, 1.248)",0.5666666666666667
"[720, 800)","[1.248, 1.344)",0.6842105263157895
"[720, 800)","[1.344, 1.44)",0.0
"[720, 800)","[1.44, 1.536)",0.75
"[720, 800)","[1.536, 1.632)",0.6666666666666666
"[720, 800)","[1.632, 1.728)",1.0
"[720, 800)","[1.728, 1.824)",1.7976931348623157e+308
"[720, 800)","[1.824, 1.92)",0.0
"[720, 800)","[1.92, 2.016)",0.0
"[720, 800)","[2.016, 2.112)",0.0
"[720, 800)","[2.112, 2.208)",0.0
"[720, 800)","[2.208, 2.304)",0.0
"[720, 800)","[2.304, 2.4)",0.0
"[800, 880)","[0, 0.096)",0.0
"[800, 880)","[0.096, 0.192)",0.0
"[800, 880)","[0.192, 0.288)",0.722635494155154
"[800, 880)","[0.288, 0.384)",0.7318516380430077
"[800, 880)","[0.384, 0.48)",0.7376364804110469
"[800, 880)","[0.48, 0.576)",0.7340012928248222
"[800, 880)","[0.576, 0.672)",0.734983498349835
"[800, 880)","[0.672, 0.768)",0.7068965517241379
"[800, 880)","[0.768, 0.864)",0.6650485436893204
"[800, 880)","[0.864, 0.96)",0.7381974248927039
"[800, 880)","[0.96, 1.056)",0.7153846153846154
"[800, 880)","[1.056, 1.152)",0.6666666666666666
"[800, 880)","[1.152, 1.248)",0.6521739130434783
"[800, 880)","[1.248, 1.344)",0.75
"[800, 880)","[1.344, 1.44)",0.9
"[800, 880)","[1.44, 1.536)",0.5
"[800, 880)","[1.536, 1.632)",0.0
"[800, 880)","[1.632, 1.728)",0.3333333333333333
"[800, 880)","[1.728, 1.824)",1.0
"[800, 880)","[1.824, 1.92)",0.0
"[800, 880)","[1.92, 2.016)",0.0
"[800, 880)","[2.016, 2.112)",0.0
"[800, 880)","[2.112, 2.208)",0.0
"[800, 880)","[2.208, 2.304)",0.0
"[800, 880)","[2.304, 2.4)",0.0
"[880, 960)","[0, 0.096)",0.0
"[880, 960)","[0.096, 0.192)",0.4
"[880, 960)","[0.192, 0.288)",0.69140625
"[880, 960)","[0.288, 0.384)",0.7244914833801885
"[880, 960)","[0.384, 0.48)",0.7257328207592504
"[880, 960)","[0.48, 0.576)",0.7307763230684123
"[880, 960)","[0.576, 0.672)",0.7299324831207802
"[880, 960)","[0.672, 0.768)",0.7441860465116279
"[880, 960)","[0.768, 0.864)",0.7736943907156673
"[880, 960)","[0.864, 0.96)",0.7647058823529411
"[880, 960)","[0.96, 1.056)",0.7156862745098039
"[880, 960)","[1.056, 1.152)",0.7096774193548387
"[880, 960)","[1.152, 1.248)",0.6111111111111112
"[880, 960)","[1.248, 1.344)",0.5555555555555556
"[880, 960)","[1.344, 1.44)",0.6
"[880, 960)","[1.44, 1.536)",1.0
"[880, 960)","[1.536, 1.632)",0.5
"[880, 960)","[1.632, 1.728)",-1.7976931348623157e+308
"[880, 960)","[1.728, 1.824)",0.0
"[880, 960)","[1.824, 1.92)",0.0
"[880, 960)","[1.92, 2.016)",0.0
"[880, 960)","[2.016, 2.112)",0.0
"[880, 960)","[2.112, 2.208)",0.0
"[880, 960)","[2.208, 2.304)",0.0
"[880, 960)","[2.304, 2.4)",0.0
"[960, 1040)","[0, 0.096)",0.0
"[960, 1040)","[0.096, 0.192)",1.0
"[960, 1040)","[0.192, 0.288)",0.6969253294289898
"[960, 1040)","[0.288, 0.384)",0.720097946882652
"[960, 1040)","[0.384, 0.48)",0.7343562374916611
"[960, 1040)","[0.48, 0.576)",0.7303117309269893
"[960, 1040)","[0.576, 0.672)",0.7141656158049601
"[960, 1040)","[0.672, 0.768)",0.7194525904203324
"[960, 1040)","[0.768, 0.864)",0.7186813186813187
"[960, 1040)","[0.864, 0.96)",0.7487437185929648
"[960, 1040)","[0.96, 1.056)",0.573170731707317
"[960, 1040)","[1.056, 1.152)",0.6176470588235294
"[960, 1040)","[1.152, 1.248)",0.625
"[960, 1040)","[1.248, 1.344)",0.8
"[960, 1040)","[1.344, 1.44)",0.25
"[960, 1040)","[1.44, 1.536)",1.0
"[960, 1040)","[1.536, 1.632)",0.0
"[960, 1040)","[1.632, 1.728)",0.0
"[960, 1040)","[1.728, 1.824)",0.0
"[960, 1040)","[1.824, 1.92)",0.0
"[960, 1040)","[1.92, 2.016)",0.0
"[960, 1040)","[2.016, 2.112)",0.0
"[960, 1040)","[2.112, 2.208)",0.0
"[960, 1040)","[2.208, 2.304)",0.0
"[960, 1040)","[2.304, 2.4)",0.0
"[1040, 1120)","[0, 0.096)",0.0
"[1040, 1120)","[0.096, 0.192)",0.6
"[1040, 1120)","[0.192, 0.288)",0.6530278232405892
"[1040, 1120)","[0.288, 0.384)",0.71900826446281
"[1040, 1120)","[0.384, 0.48)",0.740417575568713
"[1040, 1120)","[0.48, 0.576)",0.7241867043847242
"[1040, 1120)","[0.576, 0.672)",0.7187343043696635
"[1040, 1120)","[0.672, 0.768)",0.7262905162064826
