pt,eta,efficiency
"[0, 200)","[-3, -2.4)",0.0
"[0, 200)","[-2.4, -1.8)",0.19709138424989459
"[0, 200)","[-1.8, -1.2)",
"[0, 200)","[-1.2, -0.6)",
"[0, 200)","[-0.6, 0)",
"[0, 200)","[0, 0.6)",
"[0, 200)","[0.6, 1.2)",
"[0, 200)","[1.2, 1.8)",
"[0, 200)","[1.8, 2.4)",
"[0, 200)","[2.4, 3)",
"[200, 400)","[-3, -2.4)",0.051548516767262686
"[200, 400)","[-2.4, -1.8)",0.04352076820660237
"[200, 400)","[-1.8, -1.2)",0.2627074697986815
"[200, 400)","[-1.2, -0.6)",
"[200, 400)","[-0.6, 0)",
"[200, 400)","[0, 0.6)",
"[200, 400)","[0.6, 1.2)",
"[200, 400)","[1.2, 1.8)",
"[200, 400)","[1.8, 2.4)",
"[200, 400)","[2.4, 3)",
"[400, 600)","[-3, -2.4)",0.07204186140999282
"[400, 600)","[-2.4, -1.8)",0.06515353741335818
"[400, 600)","[-1.8, -1.2)",0.09421183310444134
"[400, 600)","[-1.2, -0.6)",0.1499121816664783
"[400, 600)","[-0.6, 0)",0.0
"[400, 600)","[0, 0.6)",
"[400, 600)","[0.6, 1.2)",
"[400, 600)","[1.2, 1.8)",
"[400, 600)","[1.8, 2.4)",
"[400, 600)","[2.4, 3)",
"[600, 800)","[-3, -2.4)",0.06597258731694187
"[600, 800)","[-2.4, -1.8)",0.0807709795779972
"[600, 800)","[-1.8, -1.2)",0.10925629958458295
"[600, 800)","[-1.2, -0.6)",0.07058689686625576
"[600, 800)","[-0.6, 0)",0.11874874385892946
"[600, 800)","[0, 0.6)",0.17131660546391014
"[600, 800)","[0.6, 1.2)",
"[600, 800)","[1.2, 1.8)",
"[600, 800)","[1.8, 2.4)",
"[600, 800)","[2.4, 3)",
"[800, 1000)","[-3, -2.4)",0.07465545234340472
"[800, 1000)","[-2.4, -1.8)",0.09050090572376655
"[800, 1000)","[-1.8, -1.2)",0.0795210066515504
"[800, 1000)","[-1.2, -0.6)",0.06196458243797374
"[800, 1000)","[-0.6, 0)",0.132263118636925
"[800, 1000)","[0, 0.6)",0.16748873833730768
"[800, 1000)","[0.6, 1.2)",0.12187482730358531
"[800, 1000)","[1.2, 1.8)",0.0
"[800, 1000)","[1.8, 2.4)",0.0
"[800, 1000)","[2.4, 3)",
"[1000, 1200)","[-3, -2.4)",0.0761470146163442
"[1000, 1200)","[-2.4, -1.8)",0.07498426218714319
"[1000, 1200)","[-1.8, -1.2)",0.07137489326587002
"[1000, 1200)","[-1.2, -0.6)",0.07961361497430681
"[1000, 1200)","[-0.6, 0)",0.0399677470946048
"[1000, 1200)","[0, 0.6)",0.06836871027771513
"[1000, 1200)","[0.6, 1.2)",0.0979697515819513
"[1000, 1200)","[1.2, 1.8)",0.0
"[1000, 1200)","[1.8, 2.4)",
"[1000, 1200)","[2.4, 3)",
"[1200, 1400)","[-3, -2.4)",0.07682239052166147
"[1200, 1400)","[-2.4, -1.8)",0.09992381233606885
"[1200, 1400)","[-1.8, -1.2)",0.10471036209481574
"[1200, 1400)","[-1.2, -0.6)",0.10197181921670982
"[1200, 1400)","[-0.6, 0)",0.07317695371941223
"[1200, 1400)","[0, 0.6)",0.0
"[1200, 1400)","[0.6, 1.2)",0.4016187960204598
"[1200, 1400)","[1.2, 1.8)",
"[1200, 1400)","[1.8, 2.4)",0.0
"[1200, 1400)","[2.4, 3)",
"[1400, 1600)","[-3, -2.4)",0.0756534639710976
"[1400, 1600)","[-2.4, -1.8)",0.10042864786919325
"[1400, 1600)","[-1.8, -1.2)",0.17571862629147908
"[1400, 1600)","[-1.2, -0.6)",0.05481465997991688
"[1400, 1600)","[-0.6, 0)",0.0
"[1400, 1600)","[0, 0.6)",1.0
"[1400, 1600)","[0.6, 1.2)",
"[1400, 1600)","[1.2, 1.8)",
"[1400, 1600)","[1.8, 2.4)",
"[1400, 1600)","[2.4, 3)",
"[1600, 1800)","[-3, -2.4)",0.061001045542648
"[1600, 1800)","[-2.4, -1.8)",0.04514301164846126
"[1600, 1800)","[-1.8, -1.2)",0.07349418372860522
"[1600, 1800)","[-1.2, -0.6)",
"[1600, 1800)","[-0.6, 0)",
"[1600, 1800)","[0, 0.6)",
"[1600, 1800)","[0.6, 1.2)",
"[1600, 1800)","[1.2, 1.8)",
"[1600, 1800)","[1.8, 2.4)",
"[1600, 1800)","[2.4, 3)",
"[1800, 2000)","[-3, -2.4)",0.004424569813117931
"[1800, 2000)","[-2.4, -1.8)",0.0
"[1800, 2000)","[-1.8, -1.2)",
"[1800, 2000)","[-1.2, -0.6)",
"[1800, 2000)","[-0.6, 0)",
"[1800, 2000)","[0, 0.6)",
"[1800, 2000)","[0.6, 1.2)",
"[1800, 2000)","[1.2, 1.8)",
"[1800, 2000)","[1.8, 2.4)",
"[1800, 2000)","[2.4, 3)",
