pt,eta,efficiency
"[0, 200)","[-2.4, -1.8)",0.058823529411764705
"[0, 200)","[-1.8, -1.2)",0.0
"[0, 200)","[-1.2, -0.6)",0.0
"[0, 200)","[-0.6, 0)",0.0
"[0, 200)","[0, 0.6)",0.0
"[0, 200)","[0.6, 1.2)",0.09090909090909091
"[0, 200)","[1.2, 1.8)",0.19230769230769232
"[0, 200)","[1.8, 2.4)",0.0
"[200, 400)","[-2.4, -1.8)",0.0
"[200, 400)","[-1.8, -1.2)",0.0
"[200, 400)","[-1.2, -0.6)",0.11409395973154363
"[200, 400)","[-0.6, 0)",0.0
"[200, 400)","[0, 0.6)",0.0
"[200, 400)","[0.6, 1.2)",0.0
"[200, 400)","[1.2, 1.8)",0.0
"[200, 400)","[1.8, 2.4)",0.09375
"[400, 800)","[-2.4, -1.8)",0.08196721311475409
"[400, 800)","[-1.8, -1.2)",0.0
"[400, 800)","[-1.2, -0.6)",0.0
"[400, 800)","[-0.6, 0)",0.0
"[400, 800)","[0, 0.6)",0.13846153846153847
"[400, 800)","[0.6, 1.2)",0.06666666666666667
"[400, 800)","[1.2, 1.8)",0.0
"[400, 800)","[1.8, 2.4)",0.0
"[800, 1600)","[-2.4, -1.8)",0.0
"[800, 1600)","[-1.8, -1.2)",0.04516129032258064
"[800, 1600)","[-1.2, -0.6)",0.05555555555555555
"[800, 1600)","[-0.6, 0)",0.0
"[800, 1600)","[0, 0.6)",0.0
"[800, 1600)","[0.6, 1.2)",0.0
"[800, 1600)","[1.2, 1.8)",0.12631578947368421
"[800, 1600)","[1.8, 2.4)",0.05
"[1600, 3200)","[-2.4, -1.8)",0.0
"[1600, 3200)","[-1.8, -1.2)",0.0
"[1600, 3200)","[-1.2, -0.6)",0.0
"[1600, 3200)","[-0.6, 0)",0.05263157894736842
"[1600, 3200)","[0, 0.6)",0.0
"[1600, 3200)","[0.6, 1.2)",0.0
"[1600, 3200)","[1.2, 1.8)",0.0
"[1600, 3200)","[1.8, 2.4)",0.0
