pt,eta,efficiency
"[0, 200)","[-2.4, -1.8)",0.09941027801179445
"[0, 200)","[-1.8, -1.2)",0.08919382504288165
"[0, 200)","[-1.2, -0.6)",-0.0
"[0, 200)","[-0.6, 0)",0.0
"[0, 200)","[0, 0.6)",0.0
"[0, 200)","[0.6, 1.2)",0.09425443052263235
"[0, 200)","[1.2, 1.8)",0.08310991957104558
"[0, 200)","[1.8, 2.4)",0.07692307692307693
"[200, 400)","[-2.4, -1.8)",0.0
"[200, 400)","[-1.8, -1.2)",0.0
"[200, 400)","[-1.2, -0.6)",0.09696869122690563
"[200, 400)","[-0.6, 0)",0.10633814232452586
"[200, 400)","[0, 0.6)",0.07462686567164178
"[200, 400)","[0.6, 1.2)",0.0
"[200, 400)","[1.2, 1.8)",0.0
"[200, 400)","[1.8, 2.4)",0.10594156641296341
"[400, 800)","[-2.4, -1.8)",0.09886972040452112
"[400, 800)","[-1.8, -1.2)",0.0782608695652174
"[400, 800)","[-1.2, -0.6)",0.0
"[400, 800)","[-0.6, 0)",0.0
"[400, 800)","[0, 0.6)",0.09910835353576858
"[400, 800)","[0.6, 1.2)",0.10067191844300279
"[400, 800)","[1.2, 1.8)",0.07692307692307693
"[400, 800)","[1.8, 2.4)",1.0
"[800, 1600)","[-2.4, -1.8)",0.0
"[800, 1600)","[-1.8, -1.2)",0.10261678200692041
"[800, 1600)","[-1.2, -0.6)",0.11393218704804757
"[800, 1600)","[-0.6, 0)",0.0873015873015873
"[800, 1600)","[0, 0.6)",0.0
"[800, 1600)","[0.6, 1.2)",0.0
"[800, 1600)","[1.2, 1.8)",0.09416174466151749
"[800, 1600)","[1.8, 2.4)",0.087215411558669
"[1600, 3200)","[-2.4, -1.8)",0.10526315789473684
"[1600, 3200)","[-1.8, -1.2)",0.0
"[1600, 3200)","[-1.2, -0.6)",0.0
"[1600, 3200)","[-0.6, 0)",0.07811158798283262
"[1600, 3200)","[0, 0.6)",0.09262435677530018
"[1600, 3200)","[0.6, 1.2)",0.0
"[1600, 3200)","[1.2, 1.8)",0.0
"[1600, 3200)","[1.8, 2.4)",0.0
