pt,eta,efficiency
"[0, 200)","[-2.4, -1.8)",0.3333333333333333
"[0, 200)","[-1.8, -1.2)",0.109375
"[0, 200)","[-1.2, -0.6)",0.08928571428571429
"[0, 200)","[-0.6, 0)",0.0
"[0, 200)","[0, 0.6)",0.0
"[0, 200)","[0.6, 1.2)",0.1111111111111111
"[0, 200)","[1.2, 1.8)",0.0911214953271028
"[0, 200)","[1.8, 2.4)",0.13043478260869565
"[200, 400)","[-2.4, -1.8)",0.2
"[200, 400)","[-1.8, -1.2)",0.0
"[200, 400)","[-1.2, -0.6)",0.08333333333333333
"[200, 400)","[-0.6, 0)",0.09864116758933066
"[200, 400)","[0, 0.6)",0.08322663252240717
"[200, 400)","[0.6, 1.2)",0.1
"[200, 400)","[1.2, 1.8)",0.0
"[200, 400)","[1.8, 2.4)",0.1111111111111111
"[400, 800)","[-2.4, -1.8)",0.08603667136812412
"[400, 800)","[-1.8, -1.2)",0.09015715467328371
"[400, 800)","[-1.2, -0.6)",0.11764705882352941
"[400, 800)","[-0.6, 0)",0.0
"[400, 800)","[0, 0.6)",0.03333333333333333
"[400, 800)","[0.6, 1.2)",0.09186906019007392
"[400, 800)","[1.2, 1.8)",0.08340498710232158
"[400, 800)","[1.8, 2.4)",0.17142857142857143
"[800, 1600)","[-2.4, -1.8)",0.0
"[800, 1600)","[-1.8, -1.2)",0.041666666666666664
"[800, 1600)","[-1.2, -0.6)",0.09945027486256872
"[800, 1600)","[-0.6, 0)",0.08292079207920793
"[800, 1600)","[0, 0.6)",0.0
"[800, 1600)","[0.6, 1.2)",0.0
"[800, 1600)","[1.2, 1.8)",0.09090909090909091
"[800, 1600)","[1.8, 2.4)",0.09782608695652174
"[1600, 3200)","[-2.4, -1.8)",0.10109289617486339
"[1600, 3200)","[-1.8, -1.2)",0.25
"[1600, 3200)","[-1.2, -0.6)",0.0
"[1600, 3200)","[-0.6, 0)",0.0
"[1600, 3200)","[0, 0.6)",0.09239130434782608
"[1600, 3200)","[0.6, 1.2)",0.06382978723404255
"[1600, 3200)","[1.2, 1.8)",0.0
"[1600, 3200)","[1.8, 2.4)",0.0
