pt,eta,efficiency
"[0, 200)","[-3, -2.4)",
"[0, 200)","[-2.4, -1.8)",0.125
"[0, 200)","[-1.8, -1.2)",0.5
"[0, 200)","[-1.2, -0.6)",
"[0, 200)","[-0.6, 0)",
"[0, 200)","[0, 0.6)",
"[0, 200)","[0.6, 1.2)",
"[0, 200)","[1.2, 1.8)",
"[0, 200)","[1.8, 2.4)",
"[0, 200)","[2.4, 3)",
"[200, 400)","[-3, -2.4)",0.0
"[200, 400)","[-2.4, -1.8)",0.08108108108108109
"[200, 400)","[-1.8, -1.2)",0.024390243902439025
"[200, 400)","[-1.2, -0.6)",-0.0
"[200, 400)","[-0.6, 0)",0.0
"[200, 400)","[0, 0.6)",
"[200, 400)","[0.6, 1.2)",
"[200, 400)","[1.2, 1.8)",
"[200, 400)","[1.8, 2.4)",
"[200, 400)","[2.4, 3)",
"[400, 600)","[-3, -2.4)",0.29411764705882354
"[400, 600)","[-2.4, -1.8)",0.0932475884244373
"[400, 600)","[-1.8, -1.2)",0.0958904109589041
"[400, 600)","[-1.2, -0.6)",0.13043478260869565
"[400, 600)","[-0.6, 0)",0.0
"[400, 600)","[0, 0.6)",
"[400, 600)","[0.6, 1.2)",
"[400, 600)","[1.2, 1.8)",
"[400, 600)","[1.8, 2.4)",
"[400, 600)","[2.4, 3)",
"[600, 800)","[-3, -2.4)",-0.1
"[600, 800)","[-2.4, -1.8)",0.09425403225806452
"[600, 800)","[-1.8, -1.2)",0.1223021582733813
"[600, 800)","[-1.2, -0.6)",0.07537688442211055
"[600, 800)","[-0.6, 0)",0.058823529411764705
"[600, 800)","[0, 0.6)",0.2727272727272727
"[600, 800)","[0.6, 1.2)",0.0
"[600, 800)","[1.2, 1.8)",0.5
"[600, 800)","[1.8, 2.4)",
"[600, 800)","[2.4, 3)",0.0
"[800, 1000)","[-3, -2.4)",0.09523809523809523
"[800, 1000)","[-2.4, -1.8)",0.08738574040219378
"[800, 1000)","[-1.8, -1.2)",0.048329779673063254
"[800, 1000)","[-1.2, -0.6)",0.08544303797468354
"[800, 1000)","[-0.6, 0)",0.09803921568627451
"[800, 1000)","[0, 0.6)",0.10526315789473684
"[800, 1000)","[0.6, 1.2)",1.0
"[800, 1000)","[1.2, 1.8)",
"[800, 1000)","[1.8, 2.4)",
"[800, 1000)","[2.4, 3)",
"[1000, 1200)","[-3, -2.4)",-0.07692307692307693
"[1000, 1200)","[-2.4, -1.8)",0.0903677758318739
"[1000, 1200)","[-1.8, -1.2)",0.07728813559322034
"[1000, 1200)","[-1.2, -0.6)",0.091324200913242
"[1000, 1200)","[-0.6, 0)",0.1590909090909091
"[1000, 1200)","[0, 0.6)",0.18181818181818182
"[1000, 1200)","[0.6, 1.2)",0.0
"[1000, 1200)","[1.2, 1.8)",-1.0
"[1000, 1200)","[1.8, 2.4)",
"[1000, 1200)","[2.4, 3)",
"[1200, 1400)","[-3, -2.4)",0.08695652173913043
"[1200, 1400)","[-2.4, -1.8)",0.12314767501277465
"[1200, 1400)","[-1.8, -1.2)",0.06759098786828423
"[1200, 1400)","[-1.2, -0.6)",0.09090909090909091
"[1200, 1400)","[-0.6, 0)",0.5
"[1200, 1400)","[0, 0.6)",0.0
"[1200, 1400)","[0.6, 1.2)",0.5
"[1200, 1400)","[1.2, 1.8)",0.0
"[1200, 1400)","[1.8, 2.4)",
"[1200, 1400)","[2.4, 3)",
"[1400, 1600)","[-3, -2.4)",0.125
"[1400, 1600)","[-2.4, -1.8)",0.09659714599341383
"[1400, 1600)","[-1.8, -1.2)",0.08565737051792828
"[1400, 1600)","[-1.2, -0.6)",0.0
"[1400, 1600)","[-0.6, 0)",0.0625
"[1400, 1600)","[0, 0.6)",-0.0
"[1400, 1600)","[0.6, 1.2)",
"[1400, 1600)","[1.2, 1.8)",
"[1400, 1600)","[1.8, 2.4)",
"[1400, 1600)","[2.4, 3)",
"[1600, 1800)","[-3, -2.4)",
"[1600, 1800)","[-2.4, -1.8)",0.076
"[1600, 1800)","[-1.8, -1.2)",0.1206896551724138
"[1600, 1800)","[-1.2, -0.6)",0.2
"[1600, 1800)","[-0.6, 0)",-0.0
"[1600, 1800)","[0, 0.6)",
"[1600, 1800)","[0.6, 1.2)",
"[1600, 1800)","[1.2, 1.8)",
"[1600, 1800)","[1.8, 2.4)",
"[1600, 1800)","[2.4, 3)",
"[1800, 2000)","[-3, -2.4)",
"[1800, 2000)","[-2.4, -1.8)",0.25
"[1800, 2000)","[-1.8, -1.2)",0.25
"[1800, 2000)","[-1.2, -0.6)",
"[1800, 2000)","[-0.6, 0)",
"[1800, 2000)","[0, 0.6)",
"[1800, 2000)","[0.6, 1.2)",
"[1800, 2000)","[1.2, 1.8)",
"[1800, 2000)","[1.8, 2.4)",
"[1800, 2000)","[2.4, 3)",
