pt,eta,efficiency
"[0, 80)","[0, 0.096)",0.0
"[0, 80)","[0.096, 0.192)",0.0
"[0, 80)","[0.192, 0.288)",0.1111111111111111
"[0, 80)","[0.288, 0.384)",0.3950617283950617
"[0, 80)","[0.384, 0.48)",0.3008849557522124
"[0, 80)","[0.48, 0.576)",0.34285714285714286
"[0, 80)","[0.576, 0.672)",0.23076923076923078
"[0, 80)","[0.672, 0.768)",0.5
"[0, 80)","[0.768, 0.864)",0.0
"[0, 80)","[0.864, 0.96)",0.0
"[0, 80)","[0.96, 1.056)",0.0
"[0, 80)","[1.056, 1.152)",0.0
"[0, 80)","[1.152, 1.248)",0.0
"[0, 80)","[1.248, 1.344)",0.0
"[0, 80)","[1.344, 1.44)",1.0
"[0, 80)","[1.44, 1.536)",0.0
"[0, 80)","[1.536, 1.632)",0.0
"[0, 80)","[1.632, 1.728)",0.0
"[0, 80)","[1.728, 1.824)",0.0
"[0, 80)","[1.824, 1.92)",0.0
"[0, 80)","[1.92, 2.016)",0.0
"[0, 80)","[2.016, 2.112)",0.0
"[0, 80)","[2.112, 2.208)",0.0
"[0, 80)","[2.208, 2.304)",0.0
"[0, 80)","[2.304, 2.4)",0.0
"[80, 160)","[0, 0.096)",0.0
"[80, 160)","[0.096, 0.192)",0.0
"[80, 160)","[0.192, 0.288)",0.3888888888888889
"[80, 160)","[0.288, 0.384)",0.25
"[80, 160)","[0.384, 0.48)",0.33663366336633666
"[80, 160)","[0.48, 0.576)",0.3111111111111111
"[80, 160)","[0.576, 0.672)",0.45454545454545453
"[80, 160)","[0.672, 0.768)",0.14285714285714285
"[80, 160)","[0.768, 0.864)",0.0
"[80, 160)","[0.864, 0.96)",0.0
"[80, 160)","[0.96, 1.056)",0.0
"[80, 160)","[1.056, 1.152)",0.0
"[80, 160)","[1.152, 1.248)",0.0
"[80, 160)","[1.248, 1.344)",0.0
"[80, 160)","[1.344, 1.44)",0.0
"[80, 160)","[1.44, 1.536)",0.0
"[80, 160)","[1.536, 1.632)",0.0
"[80, 160)","[1.632, 1.728)",0.0
"[80, 160)","[1.728, 1.824)",0.0
"[80, 160)","[1.824, 1.92)",0.0
"[80, 160)","[1.92, 2.016)",0.0
"[80, 160)","[2.016, 2.112)",0.0
"[80, 160)","[2.112, 2.208)",0.0
"[80, 160)","[2.208, 2.304)",0.0
"[80, 160)","[2.304, 2.4)",0.0
"[160, 240)","[0, 0.096)",0.0
"[160, 240)","[0.096, 0.192)",0.0
"[160, 240)","[0.192, 0.288)",0.42857142857142855
"[160, 240)","[0.288, 0.384)",0.34444444444444444
"[160, 240)","[0.384, 0.48)",0.25555555555555554
"[160, 240)","[0.48, 0.576)",0.17391304347826086
"[160, 240)","[0.576, 0.672)",0.6666666666666666
"[160, 240)","[0.672, 0.768)",0.0
"[160, 240)","[0.768, 0.864)",0.5
"[160, 240)","[0.864, 0.96)",0.0
"[160, 240)","[0.96, 1.056)",0.0
"[160, 240)","[1.056, 1.152)",0.0
"[160, 240)","[1.152, 1.248)",0.0
"[160, 240)","[1.248, 1.344)",0.0
"[160, 240)","[1.344, 1.44)",0.0
"[160, 240)","[1.44, 1.536)",0.0
"[160, 240)","[1.536, 1.632)",0.0
"[160, 240)","[1.632, 1.728)",0.0
"[160, 240)","[1.728, 1.824)",0.0
"[160, 240)","[1.824, 1.92)",0.0
"[160, 240)","[1.92, 2.016)",0.0
"[160, 240)","[2.016, 2.112)",0.0
"[160, 240)","[2.112, 2.208)",0.0
"[160, 240)","[2.208, 2.304)",0.0
"[160, 240)","[2.304, 2.4)",0.0
"[240, 320)","[0, 0.096)",0.0
"[240, 320)","[0.096, 0.192)",0.0
"[240, 320)","[0.192, 0.288)",0.7
"[240, 320)","[0.288, 0.384)",0.2222222222222222
"[240, 320)","[0.384, 0.48)",0.25925925925925924
"[240, 320)","[0.48, 0.576)",0.2777777777777778
"[240, 320)","[0.576, 0.672)",0.21428571428571427
