pt,eta,efficiency
"[0, 80)","[0, 0.096)",0.4444444444444444
"[0, 80)","[0.096, 0.192)",0.4146341463414634
"[0, 80)","[0.192, 0.288)",0.3333333333333333
"[0, 80)","[0.288, 0.384)",0.2
"[0, 80)","[0.384, 0.48)",0.0
"[0, 80)","[0.48, 0.576)",0.0
"[0, 80)","[0.576, 0.672)",0.0
"[0, 80)","[0.672, 0.768)",0.0
"[0, 80)","[0.768, 0.864)",0.0
"[0, 80)","[0.864, 0.96)",0.0
"[0, 80)","[0.96, 1.056)",0.0
"[0, 80)","[1.056, 1.152)",0.0
"[0, 80)","[1.152, 1.248)",0.0
"[0, 80)","[1.248, 1.344)",0.0
"[0, 80)","[1.344, 1.44)",0.0
"[0, 80)","[1.44, 1.536)",0.0
"[0, 80)","[1.536, 1.632)",0.0
"[0, 80)","[1.632, 1.728)",0.0
"[0, 80)","[1.728, 1.824)",0.0
"[0, 80)","[1.824, 1.92)",0.0
"[0, 80)","[1.92, 2.016)",0.0
"[0, 80)","[2.016, 2.112)",0.0
"[0, 80)","[2.112, 2.208)",0.0
"[0, 80)","[2.208, 2.304)",0.0
"[0, 80)","[2.304, 2.4)",0.0
"[80, 160)","[0, 0.096)",0.08333333333333333
"[80, 160)","[0.096, 0.192)",0.4444444444444444
"[80, 160)","[0.192, 0.288)",0.2682926829268293
"[80, 160)","[0.288, 0.384)",0.125
"[80, 160)","[0.384, 0.48)",0.0
"[80, 160)","[0.48, 0.576)",0.0
"[80, 160)","[0.576, 0.672)",1.0
"[80, 160)","[0.672, 0.768)",0.0
"[80, 160)","[0.768, 0.864)",0.0
"[80, 160)","[0.864, 0.96)",0.0
"[80, 160)","[0.96, 1.056)",0.0
"[80, 160)","[1.056, 1.152)",0.0
"[80, 160)","[1.152, 1.248)",0.0
"[80, 160)","[1.248, 1.344)",0.0
"[80, 160)","[1.344, 1.44)",0.0
"[80, 160)","[1.44, 1.536)",0.0
"[80, 160)","[1.536, 1.632)",0.0
"[80, 160)","[1.632, 1.728)",0.0
"[80, 160)","[1.728, 1.824)",0.0
"[80, 160)","[1.824, 1.92)",0.0
"[80, 160)","[1.92, 2.016)",0.0
"[80, 160)","[2.016, 2.112)",0.0
"[80, 160)","[2.112, 2.208)",0.0
"[80, 160)","[2.208, 2.304)",0.0
"[80, 160)","[2.304, 2.4)",0.0
"[160, 240)","[0, 0.096)",0.125
"[160, 240)","[0.096, 0.192)",0.4634146341463415
"[160, 240)","[0.192, 0.288)",0.25
"[160, 240)","[0.288, 0.384)",0.4
"[160, 240)","[0.384, 0.48)",0.0
"[160, 240)","[0.48, 0.576)",0.0
"[160, 240)","[0.576, 0.672)",0.0
"[160, 240)","[0.672, 0.768)",0.0
"[160, 240)","[0.768, 0.864)",0.0
"[160, 240)","[0.864, 0.96)",0.0
"[160, 240)","[0.96, 1.056)",0.0
"[160, 240)","[1.056, 1.152)",0.0
"[160, 240)","[1.152, 1.248)",0.0
"[160, 240)","[1.248, 1.344)",0.0
"[160, 240)","[1.344, 1.44)",0.0
"[160, 240)","[1.44, 1.536)",0.0
"[160, 240)","[1.536, 1.632)",0.0
"[160, 240)","[1.632, 1.728)",0.0
"[160, 240)","[1.728, 1.824)",0.0
"[160, 240)","[1.824, 1.92)",0.0
"[160, 240)","[1.92, 2.016)",0.0
"[160, 240)","[2.016, 2.112)",0.0
"[160, 240)","[2.112, 2.208)",0.0
"[160, 240)","[2.208, 2.304)",0.0
"[160, 240)","[2.304, 2.4)",0.0
"[240, 320)","[0, 0.096)",0.35714285714285715
"[240, 320)","[0.096, 0.192)",0.21568627450980393
"[240, 320)","[0.192, 0.288)",0.25
"[240, 320)","[0.288, 0.384)",0.0
"[240, 320)","[0.384, 0.48)",0.0
"[240, 320)","[0.48, 0.576)",0.0
