pt,eta,efficiency
"[0, 80)","[0, 0.096)",0.2756952841596131
"[0, 80)","[0.096, 0.192)",0.2904035874439462
"[0, 80)","[0.192, 0.288)",0.2814398200224972
"[0, 80)","[0.288, 0.384)",0.25070224719101125
"[0, 80)","[0.384, 0.48)",0.2465277777777778
"[0, 80)","[0.48, 0.576)",0.23529411764705882
"[0, 80)","[0.576, 0.672)",0.35714285714285715
"[0, 80)","[0.672, 0.768)",0.16666666666666666
"[0, 80)","[0.768, 0.864)",0.0
"[0, 80)","[0.864, 0.96)",0.0
"[0, 80)","[0.96, 1.056)",0.0
"[0, 80)","[1.056, 1.152)",0.0
"[0, 80)","[1.152, 1.248)",0.0
"[0, 80)","[1.248, 1.344)",0.0
"[0, 80)","[1.344, 1.44)",-0.0
"[0, 80)","[1.44, 1.536)",0.0
"[0, 80)","[1.536, 1.632)",0.0
"[0, 80)","[1.632, 1.728)",0.0
"[0, 80)","[1.728, 1.824)",0.0
"[0, 80)","[1.824, 1.92)",0.0
"[0, 80)","[1.92, 2.016)",0.0
"[0, 80)","[2.016, 2.112)",0.0
"[0, 80)","[2.112, 2.208)",0.0
"[0, 80)","[2.208, 2.304)",0.0
"[0, 80)","[2.304, 2.4)",0.0
"[80, 160)","[0, 0.096)",0.27710144927536234
"[80, 160)","[0.096, 0.192)",0.3005759539236861
"[80, 160)","[0.192, 0.288)",0.2792192881745121
"[80, 160)","[0.288, 0.384)",0.2695086705202312
"[80, 160)","[0.384, 0.48)",0.302491103202847
"[80, 160)","[0.48, 0.576)",0.29310344827586204
"[80, 160)","[0.576, 0.672)",0.16666666666666666
"[80, 160)","[0.672, 0.768)",0.21428571428571427
"[80, 160)","[0.768, 0.864)",0.0
"[80, 160)","[0.864, 0.96)",0.0
"[80, 160)","[0.96, 1.056)",0.0
"[80, 160)","[1.056, 1.152)",0.0
"[80, 160)","[1.152, 1.248)",0.0
"[80, 160)","[1.248, 1.344)",0.0
"[80, 160)","[1.344, 1.44)",0.0
"[80, 160)","[1.44, 1.536)",0.0
"[80, 160)","[1.536, 1.632)",0.0
"[80, 160)","[1.632, 1.728)",0.0
"[80, 160)","[1.728, 1.824)",0.0
"[80, 160)","[1.824, 1.92)",0.0
"[80, 160)","[1.92, 2.016)",0.0
"[80, 160)","[2.016, 2.112)",0.0
"[80, 160)","[2.112, 2.208)",0.0
"[80, 160)","[2.208, 2.304)",0.0
"[80, 160)","[2.304, 2.4)",0.0
"[160, 240)","[0, 0.096)",0.279375
"[160, 240)","[0.096, 0.192)",0.30418521816562777
"[160, 240)","[0.192, 0.288)",0.2905142857142857
"[160, 240)","[0.288, 0.384)",0.2752688172043011
"[160, 240)","[0.384, 0.48)",0.313588850174216
"[160, 240)","[0.48, 0.576)",0.22580645161290322
"[160, 240)","[0.576, 0.672)",0.45
"[160, 240)","[0.672, 0.768)",0.0
"[160, 240)","[0.768, 0.864)",0.3333333333333333
"[160, 240)","[0.864, 0.96)",0.0
"[160, 240)","[0.96, 1.056)",0.0
"[160, 240)","[1.056, 1.152)",0.0
"[160, 240)","[1.152, 1.248)",0.0
"[160, 240)","[1.248, 1.344)",0.0
"[160, 240)","[1.344, 1.44)",0.0
"[160, 240)","[1.44, 1.536)",0.0
"[160, 240)","[1.536, 1.632)",0.0
"[160, 240)","[1.632, 1.728)",0.0
"[160, 240)","[1.728, 1.824)",0.0
"[160, 240)","[1.824, 1.92)",0.0
"[160, 240)","[1.92, 2.016)",0.0
"[160, 240)","[2.016, 2.112)",0.0
"[160, 240)","[2.112, 2.208)",0.0
"[160, 240)","[2.208, 2.304)",0.0
"[160, 240)","[2.304, 2.4)",0.0
"[240, 320)","[0, 0.096)",0.29013906447534765
"[240, 320)","[0.096, 0.192)",0.3084624102757839
"[240, 320)","[0.192, 0.288)",0.2987258140632374
"[240, 320)","[0.288, 0.384)",0.29343629343629346
"[240, 320)","[0.384, 0.48)",0.25496688741721857
"[240, 320)","[0.48, 0.576)",0.2676056338028169
"[240, 320)","[0.576, 0.672)",0.3684210526315789
"[240, 320)","[0.672, 0.768)",-0.2
"[240, 320)","[0.768, 0.864)",0.0
"[240, 320)","[0.864, 0.96)",0.0
"[240, 320)","[0.96, 1.056)",0.0
"[240, 320)","[1.056, 1.152)",0.0
"[240, 320)","[1.152, 1.248)",0.0
"[240, 320)","[1.248, 1.344)",0.0
"[240, 320)","[1.344, 1.44)",0.0
"[240, 320)","[1.44, 1.536)",0.0
"[240, 320)","[1.536, 1.632)",0.0
"[240, 320)","[1.632, 1.728)",0.0
"[240, 320)","[1.728, 1.824)",0.0
"[240, 320)","[1.824, 1.92)",0.0
"[240, 320)","[1.92, 2.016)",0.0
"[240, 320)","[2.016, 2.112)",0.0
"[240, 320)","[2.112, 2.208)",0.0
"[240, 320)","[2.208, 2.304)",0.0
"[240, 320)","[2.304, 2.4)",0.0
