pt,eta,efficiency
"[0, 200)","[-3, -2.4)",0.0
"[0, 200)","[-2.4, -1.8)",0.0
"[0, 200)","[-1.8, -1.2)",
"[0, 200)","[-1.2, -0.6)",
"[0, 200)","[-0.6, 0)",
"[0, 200)","[0, 0.6)",
"[0, 200)","[0.6, 1.2)",
"[0, 200)","[1.2, 1.8)",
"[0, 200)","[1.8, 2.4)",
"[0, 200)","[2.4, 3)",
"[200, 400)","[-3, -2.4)",0.14285714285714285
"[200, 400)","[-2.4, -1.8)",0.0
"[200, 400)","[-1.8, -1.2)",
"[200, 400)","[-1.2, -0.6)",
"[200, 400)","[-0.6, 0)",
"[200, 400)","[0, 0.6)",
"[200, 400)","[0.6, 1.2)",
"[200, 400)","[1.2, 1.8)",
"[200, 400)","[1.8, 2.4)",
"[200, 400)","[2.4, 3)",
"[400, 600)","[-3, -2.4)",0.16666666666666666
"[400, 600)","[-2.4, -1.8)",0.05555555555555555
"[400, 600)","[-1.8, -1.2)",
"[400, 600)","[-1.2, -0.6)",
"[400, 600)","[-0.6, 0)",
"[400, 600)","[0, 0.6)",
"[400, 600)","[0.6, 1.2)",
"[400, 600)","[1.2, 1.8)",
"[400, 600)","[1.8, 2.4)",
"[400, 600)","[2.4, 3)",
"[600, 800)","[-3, -2.4)",0.16489361702127658
"[600, 800)","[-2.4, -1.8)",0.029411764705882353
"[600, 800)","[-1.8, -1.2)",0.0
"[600, 800)","[-1.2, -0.6)",
"[600, 800)","[-0.6, 0)",
"[600, 800)","[0, 0.6)",
"[600, 800)","[0.6, 1.2)",
"[600, 800)","[1.2, 1.8)",
"[600, 800)","[1.8, 2.4)",
"[600, 800)","[2.4, 3)",
"[800, 1000)","[-3, -2.4)",0.132
"[800, 1000)","[-2.4, -1.8)",0.04838709677419355
"[800, 1000)","[-1.8, -1.2)",
"[800, 1000)","[-1.2, -0.6)",
"[800, 1000)","[-0.6, 0)",
"[800, 1000)","[0, 0.6)",
"[800, 1000)","[0.6, 1.2)",
"[800, 1000)","[1.2, 1.8)",
"[800, 1000)","[1.8, 2.4)",
"[800, 1000)","[2.4, 3)",
"[1000, 1200)","[-3, -2.4)",0.12844036697247707
"[1000, 1200)","[-2.4, -1.8)",0.15517241379310345
"[1000, 1200)","[-1.8, -1.2)",0.3333333333333333
"[1000, 1200)","[-1.2, -0.6)",
"[1000, 1200)","[-0.6, 0)",
"[1000, 1200)","[0, 0.6)",
"[1000, 1200)","[0.6, 1.2)",
"[1000, 1200)","[1.2, 1.8)",
"[1000, 1200)","[1.8, 2.4)",
"[1000, 1200)","[2.4, 3)",
"[1200, 1400)","[-3, -2.4)",0.06741573033707865
"[1200, 1400)","[-2.4, -1.8)",0.1
"[1200, 1400)","[-1.8, -1.2)",
"[1200, 1400)","[-1.2, -0.6)",
"[1200, 1400)","[-0.6, 0)",
"[1200, 1400)","[0, 0.6)",
"[1200, 1400)","[0.6, 1.2)",
"[1200, 1400)","[1.2, 1.8)",
"[1200, 1400)","[1.8, 2.4)",
"[1200, 1400)","[2.4, 3)",
"[1400, 1600)","[-3, -2.4)",0.10227272727272728
"[1400, 1600)","[-2.4, -1.8)",0.041666666666666664
"[1400, 1600)","[-1.8, -1.2)",
"[1400, 1600)","[-1.2, -0.6)",
"[1400, 1600)","[-0.6, 0)",
"[1400, 1600)","[0, 0.6)",
"[1400, 1600)","[0.6, 1.2)",
"[1400, 1600)","[1.2, 1.8)",
"[1400, 1600)","[1.8, 2.4)",
"[1400, 1600)","[2.4, 3)",
"[1600, 1800)","[-3, -2.4)",0.15789473684210525
"[1600, 1800)","[-2.4, -1.8)",0.2857142857142857
"[1600, 1800)","[-1.8, -1.2)",
"[1600, 1800)","[-1.2, -0.6)",
"[1600, 1800)","[-0.6, 0)",
"[1600, 1800)","[0, 0.6)",
"[1600, 1800)","[0.6, 1.2)",
"[1600, 1800)","[1.2, 1.8)",
"[1600, 1800)","[1.8, 2.4)",
"[1600, 1800)","[2.4, 3)",
"[1800, 2000)","[-3, -2.4)",0.0
"[1800, 2000)","[-2.4, -1.8)",
"[1800, 2000)","[-1.8, -1.2)",
"[1800, 2000)","[-1.2, -0.6)",
"[1800, 2000)","[-0.6, 0)",
"[1800, 2000)","[0, 0.6)",
"[1800, 2000)","[0.6, 1.2)",
"[1800, 2000)","[1.2, 1.8)",
"[1800, 2000)","[1.8, 2.4)",
"[1800, 2000)","[2.4, 3)",
