pt,eta,efficiency
"[0, 200)","[-2.4, -1.8)",0.08
"[0, 200)","[-1.8, -1.2)",0.09375
"[0, 200)","[-1.2, -0.6)",0.0
"[0, 200)","[-0.6, 0)",0.0
"[0, 200)","[0, 0.6)",0.0
"[0, 200)","[0.6, 1.2)",0.09151047409040794
"[0, 200)","[1.2, 1.8)",0.1380952380952381
"[0, 200)","[1.8, 2.4)",0.0
"[200, 400)","[-2.4, -1.8)",0.0
"[200, 400)","[-1.8, -1.2)",0.0
"[200, 400)","[-1.2, -0.6)",0.09899417681312864
"[200, 400)","[-0.6, 0)",0.09649122807017543
"[200, 400)","[0, 0.6)",0.0
"[200, 400)","[0.6, 1.2)",0.0
"[200, 400)","[1.2, 1.8)",0.0
"[200, 400)","[1.8, 2.4)",0.08908450704225353
"[400, 800)","[-2.4, -1.8)",0.09523809523809523
"[400, 800)","[-1.8, -1.2)",0.15384615384615385
"[400, 800)","[-1.2, -0.6)",0.0
"[400, 800)","[-0.6, 0)",0.0
"[400, 800)","[0, 0.6)",0.10878207444886158
"[400, 800)","[0.6, 1.2)",0.08617886178861789
"[400, 800)","[1.2, 1.8)",0.13333333333333333
"[400, 800)","[1.8, 2.4)",0.0
"[800, 1600)","[-2.4, -1.8)",0.0
"[800, 1600)","[-1.8, -1.2)",0.09951690821256039
"[800, 1600)","[-1.2, -0.6)",0.10284463894967177
"[800, 1600)","[-0.6, 0)",0.0
"[800, 1600)","[0, 0.6)",0.0
"[800, 1600)","[0.6, 1.2)",0.0
"[800, 1600)","[1.2, 1.8)",0.0779976717112922
"[800, 1600)","[1.8, 2.4)",0.11578947368421053
"[1600, 3200)","[-2.4, -1.8)",0.0
"[1600, 3200)","[-1.8, -1.2)",0.0
"[1600, 3200)","[-1.2, -0.6)",0.0
"[1600, 3200)","[-0.6, 0)",0.1091703056768559
"[1600, 3200)","[0, 0.6)",0.09090909090909091
"[1600, 3200)","[0.6, 1.2)",0.0
"[1600, 3200)","[1.2, 1.8)",0.0
"[1600, 3200)","[1.8, 2.4)",0.0
