pt,eta,efficiency
"[0, 200)","[-3, -2.4)",0.1409360948429914
"[0, 200)","[-2.4, -1.8)",0.0
"[0, 200)","[-1.8, -1.2)",
"[0, 200)","[-1.2, -0.6)",
"[0, 200)","[-0.6, 0)",
"[0, 200)","[0, 0.6)",
"[0, 200)","[0.6, 1.2)",
"[0, 200)","[1.2, 1.8)",
"[0, 200)","[1.8, 2.4)",
"[0, 200)","[2.4, 3)",
"[200, 400)","[-3, -2.4)",0.3088401377678247
"[200, 400)","[-2.4, -1.8)",0.4021443512021637
"[200, 400)","[-1.8, -1.2)",0.500003614257523
"[200, 400)","[-1.2, -0.6)",
"[200, 400)","[-0.6, 0)",
"[200, 400)","[0, 0.6)",
"[200, 400)","[0.6, 1.2)",
"[200, 400)","[1.2, 1.8)",
"[200, 400)","[1.8, 2.4)",
"[200, 400)","[2.4, 3)",
"[400, 600)","[-3, -2.4)",0.39653564923115664
"[400, 600)","[-2.4, -1.8)",0.42984592371823555
"[400, 600)","[-1.8, -1.2)",0.418179222892778
"[400, 600)","[-1.2, -0.6)",0.1598786303164932
"[400, 600)","[-0.6, 0)",
"[400, 600)","[0, 0.6)",
"[400, 600)","[0.6, 1.2)",
"[400, 600)","[1.2, 1.8)",
"[400, 600)","[1.8, 2.4)",
"[400, 600)","[2.4, 3)",
"[600, 800)","[-3, -2.4)",0.439883797703133
"[600, 800)","[-2.4, -1.8)",0.47237346832062643
"[600, 800)","[-1.8, -1.2)",0.3580110725134424
"[600, 800)","[-1.2, -0.6)",0.3752301809950954
"[600, 800)","[-0.6, 0)",0.12837645176412507
"[600, 800)","[0, 0.6)",0.7341001045597126
"[600, 800)","[0.6, 1.2)",
"[600, 800)","[1.2, 1.8)",
"[600, 800)","[1.8, 2.4)",
"[600, 800)","[2.4, 3)",
"[800, 1000)","[-3, -2.4)",0.4540344687529209
"[800, 1000)","[-2.4, -1.8)",0.48789857020087424
"[800, 1000)","[-1.8, -1.2)",0.38174665339197267
"[800, 1000)","[-1.2, -0.6)",0.30639079420536425
"[800, 1000)","[-0.6, 0)",0.5745399897949665
"[800, 1000)","[0, 0.6)",0.30873620785810363
"[800, 1000)","[0.6, 1.2)",0.19877105274532123
"[800, 1000)","[1.2, 1.8)",
"[800, 1000)","[1.8, 2.4)",0.0
"[800, 1000)","[2.4, 3)",
"[1000, 1200)","[-3, -2.4)",0.4715373426220005
"[1000, 1200)","[-2.4, -1.8)",0.506520279910329
"[1000, 1200)","[-1.8, -1.2)",0.42937364309296666
"[1000, 1200)","[-1.2, -0.6)",0.4124075930802101
"[1000, 1200)","[-0.6, 0)",0.30586459657973275
"[1000, 1200)","[0, 0.6)",0.6450047519185763
"[1000, 1200)","[0.6, 1.2)",0.0
"[1000, 1200)","[1.2, 1.8)",1.0
"[1000, 1200)","[1.8, 2.4)",0.0
"[1000, 1200)","[2.4, 3)",
"[1200, 1400)","[-3, -2.4)",0.46128746418980787
"[1200, 1400)","[-2.4, -1.8)",0.5058812820289471
"[1200, 1400)","[-1.8, -1.2)",0.3707708629985703
"[1200, 1400)","[-1.2, -0.6)",0.40277282255054625
"[1200, 1400)","[-0.6, 0)",0.3210531950240665
"[1200, 1400)","[0, 0.6)",0.3102979573515745
"[1200, 1400)","[0.6, 1.2)",1.0
"[1200, 1400)","[1.2, 1.8)",
"[1200, 1400)","[1.8, 2.4)",
"[1200, 1400)","[2.4, 3)",
"[1400, 1600)","[-3, -2.4)",0.3987759038077834
"[1400, 1600)","[-2.4, -1.8)",0.3271808106898843
"[1400, 1600)","[-1.8, -1.2)",0.4112214870991283
"[1400, 1600)","[-1.2, -0.6)",0.45928105298086497
"[1400, 1600)","[-0.6, 0)",0.0
"[1400, 1600)","[0, 0.6)",0.0
"[1400, 1600)","[0.6, 1.2)",
"[1400, 1600)","[1.2, 1.8)",
"[1400, 1600)","[1.8, 2.4)",
"[1400, 1600)","[2.4, 3)",
"[1600, 1800)","[-3, -2.4)",0.38213484107025075
"[1600, 1800)","[-2.4, -1.8)",0.2969689831001308
"[1600, 1800)","[-1.8, -1.2)",0.0
"[1600, 1800)","[-1.2, -0.6)",
"[1600, 1800)","[-0.6, 0)",
"[1600, 1800)","[0, 0.6)",
"[1600, 1800)","[0.6, 1.2)",
"[1600, 1800)","[1.2, 1.8)",
"[1600, 1800)","[1.8, 2.4)",
"[1600, 1800)","[2.4, 3)",
"[1800, 2000)","[-3, -2.4)",0.006979361705494227
"[1800, 2000)","[-2.4, -1.8)",0.0
"[1800, 2000)","[-1.8, -1.2)",
"[1800, 2000)","[-1.2, -0.6)",
"[1800, 2000)","[-0.6, 0)",
"[1800, 2000)","[0, 0.6)",
"[1800, 2000)","[0.6, 1.2)",
"[1800, 2000)","[1.2, 1.8)",
"[1800, 2000)","[1.8, 2.4)",
"[1800, 2000)","[2.4, 3)",
