pt,eta,efficiency
"[0, 200)","[-3, -2.4)",
"[0, 200)","[-2.4, -1.8)",0.5833333333333334
"[0, 200)","[-1.8, -1.2)",0.0
"[0, 200)","[-1.2, -0.6)",
"[0, 200)","[-0.6, 0)",
"[0, 200)","[0, 0.6)",
"[0, 200)","[0.6, 1.2)",
"[0, 200)","[1.2, 1.8)",
"[0, 200)","[1.8, 2.4)",
"[0, 200)","[2.4, 3)",
"[200, 400)","[-3, -2.4)",0.4
"[200, 400)","[-2.4, -1.8)",0.3862212943632568
"[200, 400)","[-1.8, -1.2)",0.38461538461538464
"[200, 400)","[-1.2, -0.6)",0.1
"[200, 400)","[-0.6, 0)",0.0
"[200, 400)","[0, 0.6)",
"[200, 400)","[0.6, 1.2)",
"[200, 400)","[1.2, 1.8)",
"[200, 400)","[1.8, 2.4)",
"[200, 400)","[2.4, 3)",
"[400, 600)","[-3, -2.4)",0.18181818181818182
"[400, 600)","[-2.4, -1.8)",0.43228126248501797
"[400, 600)","[-1.8, -1.2)",0.3798449612403101
"[400, 600)","[-1.2, -0.6)",0.3951612903225806
"[400, 600)","[-0.6, 0)",0.6
"[400, 600)","[0, 0.6)",0.0
"[400, 600)","[0.6, 1.2)",
"[400, 600)","[1.2, 1.8)",
"[400, 600)","[1.8, 2.4)",
"[400, 600)","[2.4, 3)",
"[600, 800)","[-3, -2.4)",0.45714285714285713
"[600, 800)","[-2.4, -1.8)",0.5370748931425385
"[600, 800)","[-1.8, -1.2)",0.44835164835164837
"[600, 800)","[-1.2, -0.6)",0.4502262443438914
"[600, 800)","[-0.6, 0)",0.40350877192982454
"[600, 800)","[0, 0.6)",0.75
"[600, 800)","[0.6, 1.2)",-0.5
"[600, 800)","[1.2, 1.8)",
"[600, 800)","[1.8, 2.4)",
"[600, 800)","[2.4, 3)",
"[800, 1000)","[-3, -2.4)",0.4411764705882353
"[800, 1000)","[-2.4, -1.8)",0.523393385318634
"[800, 1000)","[-1.8, -1.2)",0.46643198390746793
"[800, 1000)","[-1.2, -0.6)",0.42492492492492495
"[800, 1000)","[-0.6, 0)",0.35964912280701755
"[800, 1000)","[0, 0.6)",0.21875
"[800, 1000)","[0.6, 1.2)",0.46153846153846156
"[800, 1000)","[1.2, 1.8)",-0.0
"[800, 1000)","[1.8, 2.4)",1.0
"[800, 1000)","[2.4, 3)",
"[1000, 1200)","[-3, -2.4)",0.38636363636363635
"[1000, 1200)","[-2.4, -1.8)",0.5295183842568617
"[1000, 1200)","[-1.8, -1.2)",0.4541170634920635
"[1000, 1200)","[-1.2, -0.6)",0.5074850299401198
"[1000, 1200)","[-0.6, 0)",0.3111111111111111
"[1000, 1200)","[0, 0.6)",0.2962962962962963
"[1000, 1200)","[0.6, 1.2)",0.25
"[1000, 1200)","[1.2, 1.8)",0.0
"[1000, 1200)","[1.8, 2.4)",0.0
"[1000, 1200)","[2.4, 3)",
"[1200, 1400)","[-3, -2.4)",0.23529411764705882
"[1200, 1400)","[-2.4, -1.8)",0.5278030993618961
"[1200, 1400)","[-1.8, -1.2)",0.4804159445407279
"[1200, 1400)","[-1.2, -0.6)",0.39361702127659576
"[1200, 1400)","[-0.6, 0)",0.37142857142857144
"[1200, 1400)","[0, 0.6)",0.36363636363636365
"[1200, 1400)","[0.6, 1.2)",
"[1200, 1400)","[1.2, 1.8)",-0.0
"[1200, 1400)","[1.8, 2.4)",
"[1200, 1400)","[2.4, 3)",
"[1400, 1600)","[-3, -2.4)",1.3333333333333333
"[1400, 1600)","[-2.4, -1.8)",0.47396257119609436
"[1400, 1600)","[-1.8, -1.2)",0.46173688736027513
"[1400, 1600)","[-1.2, -0.6)",0.5196850393700787
"[1400, 1600)","[-0.6, 0)",0.4
"[1400, 1600)","[0, 0.6)",-1.0
"[1400, 1600)","[0.6, 1.2)",1.0
"[1400, 1600)","[1.2, 1.8)",
"[1400, 1600)","[1.8, 2.4)",
"[1400, 1600)","[2.4, 3)",
"[1600, 1800)","[-3, -2.4)",1.0
"[1600, 1800)","[-2.4, -1.8)",0.36627906976744184
"[1600, 1800)","[-1.8, -1.2)",0.3712574850299401
"[1600, 1800)","[-1.2, -0.6)",0.5
"[1600, 1800)","[-0.6, 0)",1.0
"[1600, 1800)","[0, 0.6)",
"[1600, 1800)","[0.6, 1.2)",
"[1600, 1800)","[1.2, 1.8)",
"[1600, 1800)","[1.8, 2.4)",
"[1600, 1800)","[2.4, 3)",
"[1800, 2000)","[-3, -2.4)",
"[1800, 2000)","[-2.4, -1.8)",-0.06666666666666667
"[1800, 2000)","[-1.8, -1.2)",-1.0
"[1800, 2000)","[-1.2, -0.6)",
"[1800, 2000)","[-0.6, 0)",
"[1800, 2000)","[0, 0.6)",
"[1800, 2000)","[0.6, 1.2)",
"[1800, 2000)","[1.2, 1.8)",
"[1800, 2000)","[1.8, 2.4)",
"[1800, 2000)","[2.4, 3)",
