,p,M(p)
0,"[400, 450)",0.0547008547008547
1,"[450, 500)",0.05968331303288672
2,"[500, 550)",0.060111074812152894
3,"[550, 600)",0.05990180032733224
4,"[600, 650)",0.05906735751295337
5,"[650, 700)",0.06682867557715674
6,"[700, 750)",0.06258503401360545
7,"[750, 800)",0.04328578455484506
8,"[800, 850)",0.05889145496535797
9,"[850, 900)",0.06480304955527319
10,"[900, 950)",0.04160982264665757
11,"[950, 1000)",0.05289855072463768
12,"[1000, 1100)",0.04212765957446808
13,"[1100, 1200)",0.039167079821517105
14,"[1200, 1300)",0.04052443384982122
15,"[1300, 1400)",0.04982698961937716
16,"[1400, 1500)",0.03544494720965309
17,"[1500, 1600)",0.03814713896457766
18,"[1600, 1700)",0.042598509052183174
19,"[1700, 1800)",0.03225806451612903
20,"[1800, 1900)",0.05291005291005291
21,"[1900, 2000)",0.054838709677419356
22,"[2000, 2500)",0.040125065138092754
23,"[2500, 3000)",0.042483660130718956
24,"[3000, 3500)",0.043795620437956206
25,"[3500, 4000)",0.0
26,"[4000, 5000)",0.25
27,"[5000, 7000)",0.0
