,p,M(p)
0,"[400, 450)",0.038558256496227995
1,"[450, 500)",0.047286405158516925
2,"[500, 550)",0.04114948731786292
3,"[550, 600)",0.0479886313948404
4,"[600, 650)",0.03969883641341547
5,"[650, 700)",0.03825995807127883
6,"[700, 750)",0.039153439153439155
7,"[750, 800)",0.04387211367673179
8,"[800, 850)",0.03538907284768212
9,"[850, 900)",0.03358854038034083
10,"[900, 950)",0.035221602582917524
11,"[950, 1000)",0.027938671209540033
12,"[1000, 1100)",0.03027095681625741
13,"[1100, 1200)",0.034593960715332744
14,"[1200, 1300)",0.025159594442358244
15,"[1300, 1400)",0.03211009174311927
16,"[1400, 1500)",0.026420079260237782
17,"[1500, 1600)",0.031171019376579612
18,"[1600, 1700)",0.024363233665559248
19,"[1700, 1800)",0.03468208092485549
20,"[1800, 1900)",0.029411764705882353
21,"[1900, 2000)",0.031042128603104215
22,"[2000, 2500)",0.026460859977949284
23,"[2500, 3000)",0.020833333333333332
24,"[3000, 3500)",0.05714285714285714
25,"[3500, 4000)",0.3333333333333333
26,"[4000, 5000)",0.0
27,"[5000, 7000)",0.0
