,p,M(p)
0,"[0, 100)",0.0
1,"[100, 200)",0.0
2,"[200, 300)",0.0
3,"[300, 400)",0.0
4,"[400, 500)",0.03192407247627265
5,"[500, 600)",0.03379554258126088
6,"[600, 700)",0.032828702933510784
7,"[700, 800)",0.03235715748515257
8,"[800, 900)",0.026845079787234043
9,"[900, 1000)",0.0254427030327702
10,"[1000, 1100)",0.025529340592861462
11,"[1100, 1200)",0.023899188876013906
12,"[1200, 1300)",0.022359419322542966
13,"[1300, 1400)",0.02261007536691789
14,"[1400, 1500)",0.024625027982986346
15,"[1500, 1600)",0.024875621890547265
16,"[1600, 1700)",0.023746701846965697
17,"[1700, 1800)",0.021820661438799863
18,"[1800, 1900)",0.024630541871921183
19,"[1900, 2000)",0.021510297482837528
20,"[2000, 2100)",0.026571282575370465
21,"[2100, 2200)",0.02169869807811531
22,"[2200, 2300)",0.02924791086350975
23,"[2300, 2400)",0.0249396621078037
24,"[2400, 2500)",0.022564102564102566
25,"[2500, 2600)",0.020047169811320754
26,"[2600, 2700)",0.016901408450704224
27,"[2700, 2800)",0.029143897996357013
28,"[2800, 2900)",0.02588235294117647
29,"[2900, 3000)",0.043859649122807015
30,"[3000, 3100)",0.011811023622047244
31,"[3100, 3200)",0.06074766355140187
32,"[3200, 3300)",0.0223463687150838
33,"[3300, 3400)",0.041237113402061855
34,"[3400, 3500)",0.036585365853658534
35,"[3500, 3600)",0.015384615384615385
36,"[3600, 3700)",0.10204081632653061
37,"[3700, 3800)",0.0
38,"[3800, 3900)",0.07142857142857142
39,"[3900, 4000)",0.0
40,"[4000, 4100)",0.0
41,"[4100, 4200)",0.0
42,"[4200, 4300)",0.0
43,"[4300, 4400)",0.0
44,"[4400, 4500)",0.0
45,"[4500, 4600)",0.0
46,"[4600, 4700)",0.0
47,"[4700, 4800)",0.0
48,"[4800, 4900)",0.0
49,"[4900, 5000)",0.0
50,"[5000, 5100)",0.0
51,"[5100, 5200)",0.0
52,"[5200, 5300)",0.0
53,"[5300, 5400)",0.0
54,"[5400, 5500)",0.0
55,"[5500, 5600)",0.0
56,"[5600, 5700)",0.0
57,"[5700, 5800)",0.0
58,"[5800, 5900)",0.0
59,"[5900, 6000)",0.0
60,"[6000, 6100)",0.0
61,"[6100, 6200)",0.0
62,"[6200, 6300)",0.0
63,"[6300, 6400)",0.0
64,"[6400, 6500)",0.0
65,"[6500, 6600)",0.0
66,"[6600, 6700)",0.0
67,"[6700, 6800)",0.0
68,"[6800, 6900)",0.0
69,"[6900, 7000)",0.0
70,"[7000, 7100)",0.0
71,"[7100, 7200)",0.0
72,"[7200, 7300)",0.0
73,"[7300, 7400)",0.0
74,"[7400, 7500)",0.0
75,"[7500, 7600)",0.0
76,"[7600, 7700)",0.0
77,"[7700, 7800)",0.0
78,"[7800, 7900)",0.0
79,"[7900, 8000)",0.0
80,"[8000, 8100)",0.0
81,"[8100, 8200)",0.0
82,"[8200, 8300)",0.0
83,"[8300, 8400)",0.0
84,"[8400, 8500)",0.0
85,"[8500, 8600)",0.0
86,"[8600, 8700)",0.0
87,"[8700, 8800)",0.0
88,"[8800, 8900)",0.0
89,"[8900, 9000)",0.0
90,"[9000, 9100)",0.0
91,"[9100, 9200)",0.0
92,"[9200, 9300)",0.0
93,"[9300, 9400)",0.0
94,"[9400, 9500)",0.0
95,"[9500, 9600)",0.0
96,"[9600, 9700)",0.0
97,"[9700, 9800)",0.0
98,"[9800, 9900)",0.0
99,"[9900, 10000)",0.0
