,p,M(p)
0,"[0, 100)",0.0
1,"[100, 200)",0.0
2,"[200, 300)",0.0
3,"[300, 400)",0.0
4,"[400, 500)",0.07150352395703245
5,"[500, 600)",0.03421169156553644
6,"[600, 700)",0.04881884340802586
7,"[700, 800)",0.05987282050602059
8,"[800, 900)",0.024957932763687053
9,"[900, 1000)",0.04673976081602215
10,"[1000, 1100)",0.02543812275034724
11,"[1100, 1200)",0.04625040426995355
12,"[1200, 1300)",0.11714256828315495
13,"[1300, 1400)",0.05503363463064718
14,"[1400, 1500)",0.00782860579444433
15,"[1500, 1600)",0.02086921800243742
16,"[1600, 1700)",0.1051279316136753
17,"[1700, 1800)",0.005727353635630204
18,"[1800, 1900)",0.05380614345724313
19,"[1900, 2000)",0.006541042350631916
20,"[2000, 2100)",0.0012382907521706669
21,"[2100, 2200)",0.010892312506287201
22,"[2200, 2300)",0.2830990037853433
23,"[2300, 2400)",0.024587375646390776
24,"[2400, 2500)",0.0
25,"[2500, 2600)",0.13747966818011284
26,"[2600, 2700)",0.0
27,"[2700, 2800)",0.0
28,"[2800, 2900)",0.38156159148868185
29,"[2900, 3000)",0.0
30,"[3000, 3100)",0.0
31,"[3100, 3200)",0.0
32,"[3200, 3300)",0.0
33,"[3300, 3400)",0.008130811733525
34,"[3400, 3500)",1.0
35,"[3500, 3600)",0.0
36,"[3600, 3700)",0.0
37,"[3700, 3800)",0.0
38,"[3800, 3900)",0.0
39,"[3900, 4000)",0.0
40,"[4000, 4100)",0.0
41,"[4100, 4200)",0.0
42,"[4200, 4300)",0.0
43,"[4300, 4400)",0.0
44,"[4400, 4500)",0.0
45,"[4500, 4600)",0.0
46,"[4600, 4700)",0.0
47,"[4700, 4800)",0.0
48,"[4800, 4900)",0.0
49,"[4900, 5000)",0.0
