,p,M(p)
0,"[0, 100)",0.0
1,"[100, 200)",0.0
2,"[200, 300)",0.0
3,"[300, 400)",0.0
4,"[400, 500)",0.037380125949295705
5,"[500, 600)",0.05086663349947771
6,"[600, 700)",0.061079428453367515
7,"[700, 800)",0.04472655602551323
8,"[800, 900)",0.051485564675170244
9,"[900, 1000)",0.03988303656194116
10,"[1000, 1100)",0.0568760119541813
11,"[1100, 1200)",0.05330705800255481
12,"[1200, 1300)",0.02420853016528249
13,"[1300, 1400)",0.05961745215764226
14,"[1400, 1500)",0.059996294924830995
15,"[1500, 1600)",0.027350357360887926
16,"[1600, 1700)",0.012339132732300296
17,"[1700, 1800)",0.0076406702673712966
18,"[1800, 1900)",0.027106816355644752
19,"[1900, 2000)",0.03961139394081237
20,"[2000, 2100)",0.031164894104784253
21,"[2100, 2200)",0.012580990088007409
22,"[2200, 2300)",0.026878174382185288
23,"[2300, 2400)",0.0016160902742507997
24,"[2400, 2500)",0.018819448988613038
25,"[2500, 2600)",7.708084056058443e-05
26,"[2600, 2700)",0.00013888026358125846
27,"[2700, 2800)",0.008213980167809502
28,"[2800, 2900)",0.02380228951158621
29,"[2900, 3000)",0.22640599512576096
30,"[3000, 3100)",0.032931607761630365
31,"[3100, 3200)",0.13821956796122614
32,"[3200, 3300)",0.01973280704102735
33,"[3300, 3400)",0.002322888188352789
34,"[3400, 3500)",0.0
35,"[3500, 3600)",0.0
36,"[3600, 3700)",0.0
37,"[3700, 3800)",0.0
38,"[3800, 3900)",0.0
39,"[3900, 4000)",0.0
40,"[4000, 4100)",0.0
41,"[4100, 4200)",0.0
42,"[4200, 4300)",0.0
43,"[4300, 4400)",0.0
44,"[4400, 4500)",0.0
45,"[4500, 4600)",0.0
46,"[4600, 4700)",0.0
47,"[4700, 4800)",0.0
48,"[4800, 4900)",0.0
49,"[4900, 5000)",0.0
