,p,M(p)
0,"[0, 100)",0.0
1,"[100, 200)",0.0
2,"[200, 300)",0.0
3,"[300, 400)",0.0
4,"[400, 500)",0.32731475559341267
5,"[500, 600)",0.40311610949713145
6,"[600, 700)",0.3333400088025164
7,"[700, 800)",0.3731716535215871
8,"[800, 900)",0.3321071218495183
9,"[900, 1000)",0.3229048873463299
10,"[1000, 1100)",0.34702330791272934
11,"[1100, 1200)",0.2632222717691498
12,"[1200, 1300)",0.23375046776266745
13,"[1300, 1400)",0.19679675895101534
14,"[1400, 1500)",0.3409914971517591
15,"[1500, 1600)",0.2870644462936391
16,"[1600, 1700)",0.20543428330902241
17,"[1700, 1800)",0.2647534155780007
18,"[1800, 1900)",0.27250037986587655
19,"[1900, 2000)",0.21709859783282676
20,"[2000, 2100)",0.39337824250061826
21,"[2100, 2200)",0.0
22,"[2200, 2300)",0.8159601916697383
23,"[2300, 2400)",0.12554562050489118
24,"[2400, 2500)",-0.10531849603455905
25,"[2500, 2600)",0.08336801194576202
26,"[2600, 2700)",0.0991997392815759
27,"[2700, 2800)",-0.06666666666666667
28,"[2800, 2900)",0.2724799776800368
29,"[2900, 3000)",0.20040013035921206
30,"[3000, 3100)",0.16666666666666666
31,"[3100, 3200)",0.0
32,"[3200, 3300)",0.10009993262461056
33,"[3300, 3400)",0.0
34,"[3400, 3500)",0.0
35,"[3500, 3600)",0.0
36,"[3600, 3700)",0.0
37,"[3700, 3800)",0.0
38,"[3800, 3900)",0.0
39,"[3900, 4000)",0.0
40,"[4000, 4100)",0.0
41,"[4100, 4200)",0.0
42,"[4200, 4300)",0.0
43,"[4300, 4400)",0.0
44,"[4400, 4500)",0.0
45,"[4500, 4600)",0.0
46,"[4600, 4700)",0.0
47,"[4700, 4800)",0.0
48,"[4800, 4900)",0.0
49,"[4900, 5000)",0.0
