DeepCSV; OperatingPoint,measurementType,sysType,jetFlavour,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,-2.5,2.5,30,120,0,1,0.97975
0,lt,up,0,-2.5,2.5,30,120,0,1,1.03366
0,lt,down,0,-2.5,2.5,30,120,0,1,0.92099
0,lt,central,1,-2.5,2.5,30,120,0,1,0.97975
0,lt,up,1,-2.5,2.5,30,120,0,1,1.08757
0,lt,down,1,-2.5,2.5,30,120,0,1,0.86222
0,lt,central,0,-2.5,2.5,120,180,0,1,0.95141
0,lt,up,0,-2.5,2.5,120,180,0,1,1.03851
0,lt,down,0,-2.5,2.5,120,180,0,1,0.86261
0,lt,central,1,-2.5,2.5,120,180,0,1,0.95141
0,lt,up,1,-2.5,2.5,120,180,0,1,1.12562
0,lt,down,1,-2.5,2.5,120,180,0,1,0.77382
0,lt,central,0,-2.5,2.5,180,240,0,1,0.99541
0,lt,up,0,-2.5,2.5,180,240,0,1,1.05941
0,lt,down,0,-2.5,2.5,180,240,0,1,0.9305
0,lt,central,1,-2.5,2.5,180,240,0,1,0.99541
0,lt,up,1,-2.5,2.5,180,240,0,1,1.1234
0,lt,down,1,-2.5,2.5,180,240,0,1,0.86559
0,lt,central,0,-2.5,2.5,240,1000,0,1,0.98072
0,lt,up,0,-2.5,2.5,240,1000,0,1,1.02783
0,lt,down,0,-2.5,2.5,240,1000,0,1,0.91884
0,lt,central,1,-2.5,2.5,240,1000,0,1,0.98072
0,lt,up,1,-2.5,2.5,240,1000,0,1,1.07493
0,lt,down,1,-2.5,2.5,240,1000,0,1,0.85696
1,lt,central,0,-2.5,2.5,30,120,0,1,0.95872
1,lt,up,0,-2.5,2.5,30,120,0,1,1.04201
1,lt,down,0,-2.5,2.5,30,120,0,1,0.87144
1,lt,central,1,-2.5,2.5,30,120,0,1,0.95872
1,lt,up,1,-2.5,2.5,30,120,0,1,1.12531
1,lt,down,1,-2.5,2.5,30,120,0,1,0.78416
1,lt,central,0,-2.5,2.5,120,180,0,1,0.89104
1,lt,up,0,-2.5,2.5,120,180,0,1,1.01906
1,lt,down,0,-2.5,2.5,120,180,0,1,0.75755
1,lt,central,1,-2.5,2.5,120,180,0,1,0.89104
1,lt,up,1,-2.5,2.5,120,180,0,1,1.14708
1,lt,down,1,-2.5,2.5,120,180,0,1,0.62407
1,lt,central,0,-2.5,2.5,180,240,0,1,1.02868
1,lt,up,0,-2.5,2.5,180,240,0,1,1.08301
1,lt,down,0,-2.5,2.5,180,240,0,1,0.96529
1,lt,central,1,-2.5,2.5,180,240,0,1,1.02868
1,lt,up,1,-2.5,2.5,180,240,0,1,1.13734
1,lt,down,1,-2.5,2.5,180,240,0,1,0.9019
1,lt,central,0,-2.5,2.5,240,1000,0,1,0.93204
1,lt,up,0,-2.5,2.5,240,1000,0,1,1.05529
1,lt,down,0,-2.5,2.5,240,1000,0,1,0.80761
1,lt,central,1,-2.5,2.5,240,1000,0,1,0.93204
1,lt,up,1,-2.5,2.5,240,1000,0,1,1.17854
1,lt,down,1,-2.5,2.5,240,1000,0,1,0.68318
0,incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.13229-0.000199506*x+7.41326e-07*x*x-5.21686e-10*x*x*x" 
0,incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "1.04669-0.000200148*x+8.42438e-07*x*x-6.04708e-10*x*x*x" 
0,incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "1.21803-0.000198664*x+6.38854e-07*x*x-4.37965e-10*x*x*x" 
1,incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.991345+0.000138583*x+2.81386e-08*x*x" 
1,incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "0.836145+0.000103764*x+2.18709e-08*x*x" 
1,incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "1.14656+0.000173335*x+3.4515e-08*x*x"
